# Station Code,gdvi
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:31
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,BEAN,BEET,FCRN,LAWN,PAST,POTA,POTS,PPMT,SCRN,SGRN,WGRN
02/02,,,,,,,,,,,,,0.0
02/03,,,,,,,,,,,,,0.01
02/04,,,,,,,,,,,,,0.01
02/05,,,,,,,,,,,,,0.02
02/06,,,,,,,,,,,,,0.05
02/07,,,,,,,,,,,,,0.1
02/08,,,,,,,,,,,,,0.05
02/09,,,,,,,,,,,,,0.06
02/10,,,,,,,,,,,,,0.03
02/11,,,,,,,,,,,,,0.03
02/12,,,,,,,,,,,,,0.03
02/13,,,,,,,,,,,,,0.03
02/14,,,,,,,,,,,,,0.04
02/15,0.02,0.02,,,,0.02,0.04,,,,,,0.07
02/16,0.02,0.02,,,,0.02,0.03,,,,,,0.03
02/17,0.01,0.01,,,,0.02,0.02,,,,,,0.03
02/18,0.02,0.02,,,,0.02,0.02,,,,,,0.03
02/19,0.02,0.02,,,,0.02,0.03,,,,,,0.035
02/20,0.02,0.02,,,,0.03,0.04,,,,,,0.045
02/21,0.03,0.03,,,,0.03,0.04,,,,,,0.04
02/22,0.02,0.02,,,,0.03,0.03,,,,,,0.033
02/23,0.02,0.02,,,,0.03,0.03,,,,,,0.04
02/24,0.03,0.03,,,,0.05,0.04,,,,,,0.047
02/25,0.06,0.06,,,,0.09,0.06,,,,,,0.055
02/26,0.04,0.04,,,,0.05,0.04,,,,,,0.038
02/27,0.04,0.04,,,,0.06,0.04,,,,,,0.038
02/28,0.05,0.05,,,,0.07,0.05,,,,,,0.05
02/29,,,,,,,,,,,,,0.04
03/01,0.05,0.05,,,,0.033,0.037,,,,,,0.048
03/02,0.06,0.06,,,,0.028,0.037,,,,,,0.052
03/03,0.09,0.09,,,,0.035,0.037,,,,,,0.064
03/04,0.06,0.06,,,,0.035,0.04,,,,,,0.058
03/05,0.032,0.032,,,,0.042,0.052,,,0.03,,0.03,0.062
03/06,0.033,0.033,,,,0.047,0.05,,,0.02,,0.03,0.057
03/07,0.028,0.028,,,,0.042,0.038,,,0.01,,0.027,0.049
03/08,0.035,0.035,,,,0.06,0.048,,,0.03,,0.027,0.055
03/09,0.03,0.03,,,,0.05,0.038,,,0.02,,0.023,0.05
03/10,0.042,0.042,,,,0.047,0.04,,,0.01,,0.028,0.062
03/11,0.032,0.032,,,,0.045,0.04,,,0.03,,0.024,0.057
03/12,0.052,0.052,,,,0.065,0.052,,,0.02,,0.038,0.079
03/13,0.06,0.06,,,,0.067,0.057,,,0.03,,0.034,0.085
03/14,0.053,0.053,,,,0.057,0.045,,,0.04,,0.03,0.069
03/15,0.033,0.033,,0.023,,0.054,0.044,,,0.025,,0.025,0.064
03/16,0.035,0.035,,0.027,,0.056,0.044,,,0.018,,0.026,0.065
03/17,0.054,0.054,,0.043,,0.085,0.065,,,0.035,,0.037,0.091
03/18,0.051,0.051,,0.037,,0.081,0.06,,,0.025,,0.031,0.086
03/19,0.055,0.055,,0.043,,0.086,0.061,,,0.025,,0.032,0.094
03/20,0.065,0.065,,0.042,,0.092,0.068,,,0.032,,0.037,0.106
03/21,0.061,0.061,,0.03,,0.078,0.057,,,0.026,,0.034,0.089
03/22,0.069,0.07,,0.04,,0.083,0.064,,,0.03,,0.038,0.095
03/23,0.077,0.078,,0.042,,0.093,0.069,,,0.034,,0.04,0.102
03/24,0.068,0.068,,0.038,,0.085,0.065,,,0.03,,0.037,0.1
03/25,0.071,0.072,,0.042,,0.097,0.074,,,0.034,,0.046,0.117
03/26,0.063,0.064,,0.032,,0.087,0.064,,,0.026,,0.04,0.099
03/27,0.076,0.077,,0.04,,0.1,0.073,,,0.034,,0.049,0.115
03/28,0.092,0.093,,0.044,,0.123,0.089,,,0.038,,0.059,0.138
03/29,0.092,0.094,,0.044,,0.122,0.088,,,0.04,,0.066,0.135
03/30,0.083,0.085,,0.04,,0.105,0.076,,,0.036,,0.062,0.117
03/31,0.119,0.123,,0.06,,0.147,0.11,,,0.056,,0.088,0.167
04/01,0.1,0.102,,0.04,,0.128,0.091,,,0.034,,0.07,0.143
04/02,0.11,0.112,,0.048,,0.13,0.096,,,0.04,,0.083,0.147
04/03,0.122,0.125,,0.052,,0.145,0.108,,,0.043,,0.096,0.166
04/04,0.115,0.117,,0.046,,0.135,0.102,,,0.038,,0.094,0.155
04/05,0.118,0.121,,0.05,,0.132,0.101,0.05,0.05,0.044,,0.098,0.152
04/06,0.115,0.117,,0.05,,0.13,0.099,0.057,0.057,0.042,,0.098,0.152
04/07,0.138,0.142,,0.056,,0.151,0.117,0.06,0.06,0.05,,0.122,0.176
04/08,0.155,0.16,,0.058,,0.171,0.134,0.063,0.067,0.052,,0.145,0.2
04/09,0.154,0.159,,0.058,,0.167,0.131,0.07,0.073,0.056,,0.144,0.196
04/10,0.168,0.174,,0.054,,0.18,0.142,0.065,0.08,0.056,,0.151,0.213
04/11,0.146,0.153,,0.052,,0.152,0.121,0.06,0.07,0.05,,0.142,0.182
04/12,0.159,0.169,,0.056,,0.164,0.131,0.06,0.073,0.058,,0.159,0.196
04/13,0.152,0.162,,0.057,,0.155,0.125,0.072,0.103,0.055,,0.158,0.187
04/14,0.151,0.162,,0.056,,0.148,0.122,0.072,0.097,0.058,,0.162,0.179
04/15,0.162,0.174,,0.058,0.073,0.161,0.132,0.068,0.08,0.059,0.073,0.139,0.194
04/16,0.172,0.187,,0.061,0.073,0.171,0.14,0.077,0.087,0.065,0.073,0.143,0.207
04/17,0.167,0.185,,0.063,0.083,0.162,0.135,0.08,0.098,0.067,0.083,0.149,0.201
04/18,0.178,0.198,,0.069,0.083,0.173,0.145,0.098,0.115,0.071,0.083,0.166,0.215
04/19,0.189,0.21,,0.07,0.087,0.182,0.152,0.095,0.117,0.077,0.087,0.17,0.226
04/20,0.191,0.212,,0.066,0.072,0.181,0.152,0.087,0.117,0.081,0.072,0.179,0.225
04/21,0.195,0.217,,0.065,0.074,0.186,0.155,0.085,0.125,0.085,0.074,0.178,0.231
04/22,0.208,0.232,,0.07,0.074,0.198,0.166,0.081,0.108,0.092,0.074,0.189,0.245
04/23,0.179,0.202,,0.062,0.062,0.17,0.145,0.072,0.103,0.082,0.062,0.164,0.212
04/24,0.155,0.175,,0.055,0.046,0.148,0.123,0.064,0.085,0.068,0.046,0.142,0.184
04/25,0.178,0.201,,0.059,0.06,0.168,0.142,0.069,0.098,0.084,0.06,0.162,0.208
04/26,0.181,0.208,,0.062,0.068,0.17,0.144,0.084,0.147,0.092,0.068,0.165,0.212
04/27,0.198,0.228,,0.068,0.06,0.186,0.159,0.08,0.115,0.098,0.06,0.18,0.232
04/28,0.215,0.248,,0.075,0.076,0.201,0.171,0.095,0.16,0.114,0.076,0.203,0.252
04/29,0.205,0.238,,0.075,0.072,0.192,0.164,0.096,0.16,0.114,0.072,0.2,0.241
04/30,0.213,0.246,,0.077,0.072,0.199,0.168,0.104,0.168,0.12,0.072,0.204,0.249
05/01,0.224,0.26,,0.084,0.083,0.209,0.178,0.107,0.128,0.132,0.083,0.221,0.262
05/02,0.233,0.272,,0.089,0.088,0.218,0.186,0.112,0.138,0.142,0.088,0.234,0.274
05/03,0.233,0.275,,0.092,0.089,0.219,0.185,0.119,0.15,0.148,0.089,0.238,0.275
05/04,0.225,0.265,,0.091,0.087,0.212,0.18,0.112,0.142,0.148,0.087,0.232,0.265
05/05,0.227,0.266,0.057,0.093,0.089,0.213,0.182,0.12,0.141,0.153,0.089,0.239,0.266
05/06,0.237,0.278,0.06,0.098,0.093,0.222,0.19,0.132,0.152,0.159,0.093,0.254,0.278
05/07,0.202,0.236,0.043,0.084,0.078,0.188,0.162,0.109,0.123,0.138,0.078,0.217,0.236
05/08,0.208,0.244,0.05,0.088,0.079,0.194,0.165,0.113,0.132,0.146,0.079,0.228,0.244
05/09,0.225,0.264,0.06,0.098,0.089,0.21,0.178,0.13,0.149,0.165,0.089,0.248,0.264
05/10,0.225,0.264,0.048,0.097,0.083,0.212,0.178,0.122,0.138,0.165,0.087,0.249,0.264
05/11,0.237,0.278,0.064,0.108,0.093,0.222,0.189,0.14,0.166,0.181,0.092,0.263,0.278
05/12,0.231,0.27,0.066,0.107,0.09,0.214,0.183,0.142,0.168,0.182,0.089,0.258,0.27
05/13,0.212,0.248,0.058,0.098,0.081,0.199,0.168,0.132,0.154,0.168,0.081,0.237,0.248
05/14,0.212,0.248,0.058,0.1,0.084,0.198,0.169,0.139,0.159,0.171,0.085,0.24,0.248
05/15,0.218,0.256,0.06,0.107,0.088,0.205,0.175,0.131,0.162,0.183,0.087,0.248,0.256
05/16,0.208,0.244,0.065,0.105,0.081,0.195,0.166,0.129,0.158,0.175,0.083,0.238,0.244
05/17,0.199,0.235,0.063,0.104,0.079,0.188,0.16,0.128,0.16,0.174,0.081,0.231,0.235
05/18,0.21,0.246,0.067,0.11,0.083,0.197,0.168,0.134,0.168,0.185,0.086,0.242,0.246
05/19,0.2,0.237,0.062,0.106,0.082,0.189,0.162,0.124,0.164,0.181,0.083,0.232,0.237
05/20,0.184,0.215,0.058,0.096,0.073,0.172,0.145,0.109,0.148,0.165,0.073,0.211,0.215
05/21,0.197,0.232,0.068,0.108,0.082,0.185,0.158,0.125,0.169,0.182,0.082,0.228,0.232
05/22,0.202,0.239,0.075,0.115,0.088,0.193,0.163,0.135,0.182,0.19,0.088,0.237,0.239
05/23,0.217,0.255,0.087,0.128,0.097,0.203,0.173,0.151,0.199,0.206,0.097,0.252,0.255
05/24,0.243,0.285,0.105,0.148,0.112,0.227,0.195,0.172,0.232,0.236,0.112,0.282,0.285
05/25,0.222,0.262,0.09,0.136,0.102,0.209,0.178,0.16,0.213,0.217,0.102,0.26,0.262
05/26,0.203,0.239,0.089,0.13,0.098,0.191,0.161,0.155,0.205,0.202,0.098,0.238,0.239
05/27,0.223,0.264,0.105,0.146,0.11,0.211,0.179,0.173,0.226,0.224,0.111,0.263,0.264
05/28,0.23,0.271,0.111,0.152,0.115,0.216,0.184,0.178,0.234,0.229,0.116,0.27,0.271
05/29,0.245,0.287,0.125,0.165,0.123,0.23,0.194,0.193,0.248,0.248,0.124,0.286,0.287
05/30,0.252,0.295,0.133,0.173,0.128,0.235,0.202,0.202,0.255,0.258,0.129,0.295,0.295
05/31,0.262,0.309,0.149,0.187,0.138,0.247,0.212,0.215,0.272,0.272,0.138,0.309,0.309
06/01,0.257,0.303,0.153,0.183,0.137,0.242,0.205,0.215,0.267,0.266,0.138,0.302,0.303
06/02,0.267,0.312,0.163,0.194,0.145,0.251,0.211,0.225,0.28,0.276,0.146,0.312,0.312
06/03,0.289,0.34,0.185,0.215,0.158,0.272,0.231,0.249,0.306,0.302,0.159,0.34,0.34
06/04,0.298,0.352,0.202,0.227,0.169,0.282,0.24,0.262,0.317,0.318,0.17,0.352,0.352
06/05,0.276,0.325,0.198,0.215,0.164,0.26,0.222,0.248,0.296,0.295,0.164,0.325,0.325
06/06,0.27,0.318,0.203,0.217,0.164,0.255,0.217,0.245,0.289,0.289,0.164,0.318,0.318
06/07,0.258,0.302,0.203,0.212,0.16,0.241,0.206,0.235,0.276,0.278,0.161,0.302,0.299
06/08,0.272,0.32,0.22,0.226,0.172,0.255,0.217,0.255,0.292,0.295,0.172,0.32,0.316
06/09,0.255,0.298,0.212,0.215,0.165,0.238,0.203,0.243,0.273,0.276,0.165,0.298,0.294
06/10,0.252,0.295,0.217,0.218,0.165,0.236,0.199,0.238,0.271,0.273,0.166,0.295,0.288
06/11,0.267,0.312,0.235,0.235,0.178,0.25,0.212,0.256,0.286,0.289,0.178,0.312,0.303
06/12,0.255,0.302,0.23,0.229,0.176,0.242,0.205,0.252,0.277,0.28,0.177,0.302,0.289
06/13,0.268,0.316,0.245,0.241,0.187,0.252,0.215,0.263,0.291,0.296,0.186,0.316,0.302
06/14,0.268,0.315,0.245,0.242,0.187,0.252,0.213,0.261,0.288,0.295,0.187,0.315,0.298
06/15,0.268,0.315,0.248,0.242,0.188,0.252,0.213,0.26,0.289,0.295,0.187,0.315,0.295
06/16,0.262,0.309,0.251,0.245,0.192,0.248,0.21,0.259,0.284,0.29,0.191,0.309,0.291
06/17,0.259,0.304,0.254,0.245,0.196,0.242,0.207,0.259,0.28,0.287,0.195,0.304,0.278
06/18,0.254,0.3,0.258,0.247,0.198,0.239,0.205,0.26,0.275,0.283,0.197,0.3,0.272
06/19,0.278,0.326,0.28,0.272,0.218,0.261,0.222,0.283,0.302,0.309,0.216,0.326,0.29
06/20,0.276,0.323,0.285,0.277,0.224,0.259,0.22,0.285,0.298,0.306,0.223,0.323,0.285
06/21,0.294,0.345,0.31,0.3,0.245,0.276,0.237,0.305,0.318,0.328,0.243,0.345,0.295
06/22,0.306,0.358,0.322,0.312,0.257,0.288,0.245,0.317,0.33,0.341,0.255,0.358,0.298
06/23,0.299,0.353,0.316,0.312,0.255,0.282,0.24,0.315,0.324,0.333,0.252,0.353,0.287
06/24,0.289,0.342,0.308,0.306,0.252,0.272,0.232,0.305,0.314,0.323,0.25,0.342,0.265
06/25,0.295,0.347,0.318,0.315,0.262,0.278,0.236,0.312,0.318,0.329,0.258,0.345,0.256
06/26,0.278,0.327,0.299,0.3,0.249,0.262,0.222,0.297,0.298,0.308,0.247,0.325,0.238
06/27,0.282,0.332,0.305,0.308,0.261,0.265,0.225,0.302,0.304,0.314,0.258,0.329,0.235
06/28,0.302,0.357,0.332,0.336,0.285,0.285,0.243,0.325,0.328,0.338,0.282,0.352,0.238
06/29,0.291,0.342,0.321,0.325,0.278,0.274,0.232,0.312,0.316,0.325,0.275,0.331,0.22
06/30,0.289,0.34,0.318,0.325,0.28,0.271,0.232,0.312,0.312,0.322,0.275,0.325,0.21
07/01,0.307,0.36,0.34,0.347,0.301,0.285,0.243,0.331,0.33,0.342,0.296,0.34,0.202
07/02,0.315,0.371,0.351,0.359,0.315,0.295,0.252,0.342,0.34,0.352,0.31,0.345,0.216
07/03,0.312,0.368,0.346,0.358,0.317,0.295,0.25,0.339,0.337,0.348,0.312,0.336,0.206
07/04,0.308,0.363,0.344,0.357,0.318,0.29,0.246,0.336,0.332,0.345,0.314,0.325,0.193
07/05,0.298,0.348,0.331,0.343,0.31,0.279,0.235,0.322,0.318,0.331,0.306,0.307,0.165
07/06,0.305,0.358,0.34,0.355,0.322,0.287,0.244,0.332,0.326,0.34,0.318,0.311,0.191
07/07,0.3,0.353,0.335,0.35,0.324,0.282,0.241,0.327,0.32,0.335,0.318,0.295,0.177
07/08,0.29,0.342,0.324,0.34,0.316,0.273,0.232,0.316,0.31,0.324,0.311,0.278,0.163
07/09,0.296,0.347,0.33,0.347,0.326,0.277,0.235,0.322,0.312,0.33,0.321,0.27,0.155
07/10,0.292,0.344,0.327,0.344,0.325,0.274,0.233,0.318,0.308,0.327,0.319,0.26,0.148
07/11,0.308,0.365,0.344,0.365,0.347,0.292,0.249,0.337,0.327,0.346,0.342,0.266,0.149
07/12,0.309,0.362,0.343,0.362,0.347,0.29,0.247,0.336,0.323,0.344,0.342,0.249,0.136
07/13,0.294,0.348,0.327,0.348,0.337,0.279,0.236,0.321,0.31,0.328,0.334,0.233,0.133
07/14,0.291,0.342,0.321,0.342,0.332,0.274,0.232,0.316,0.305,0.324,0.328,0.22,0.117
07/15,0.309,0.363,0.34,0.363,0.358,0.29,0.245,0.335,0.318,0.345,0.355,0.185,0.026
07/16,0.296,0.348,0.326,0.348,0.344,0.279,0.236,0.32,0.305,0.331,0.341,0.227,0.12
07/17,0.298,0.35,0.326,0.35,0.347,0.28,0.238,0.322,0.306,0.332,0.344,0.226,0.105
07/18,0.313,0.368,0.34,0.368,0.366,0.295,0.252,0.337,0.318,0.349,0.362,0.225,0.125
07/19,0.302,0.355,0.328,0.355,0.354,0.283,0.239,0.324,0.305,0.337,0.348,0.206,0.11
07/20,0.296,0.348,0.32,0.348,0.348,0.278,0.235,0.315,0.295,0.306,0.344,0.163,0.0
07/21,0.273,0.32,0.292,0.32,0.32,0.255,0.218,0.291,0.271,0.303,0.316,0.194,
07/22,0.292,0.341,0.308,0.341,0.341,0.272,0.231,0.308,0.285,0.323,0.337,0.194,
07/23,0.276,0.324,0.29,0.324,0.324,0.259,0.219,0.292,0.271,0.309,0.319,0.161,
07/24,0.262,0.308,0.272,0.308,0.308,0.248,0.209,0.277,0.257,0.297,0.303,0.147,
07/25,0.275,0.323,0.283,0.322,0.323,0.26,0.22,0.288,0.265,0.233,0.317,0.089,
07/26,0.272,0.32,0.274,0.318,0.32,0.255,0.216,0.285,0.261,0.296,0.312,0.2,
07/27,0.271,0.318,0.271,0.315,0.318,0.255,0.215,0.282,0.255,0.297,0.309,0.21,
07/28,0.272,0.318,0.268,0.316,0.318,0.255,0.216,0.281,0.253,0.303,0.309,0.203,
07/29,0.264,0.311,0.257,0.308,0.309,0.248,0.211,0.272,0.245,0.292,0.298,0.167,
07/30,0.263,0.31,0.255,0.307,0.308,0.248,0.211,0.268,0.242,0.292,0.296,0.18,
07/31,0.269,0.316,0.255,0.312,0.314,0.252,0.215,0.274,0.245,0.297,0.302,0.19,
08/01,0.254,0.298,0.237,0.295,0.296,0.24,0.202,0.258,0.226,0.24,0.283,0.16,
08/02,0.265,0.31,0.242,0.305,0.308,0.248,0.21,0.265,0.235,0.299,0.292,0.177,
08/03,0.28,0.329,0.253,0.323,0.325,0.264,0.223,0.281,0.245,0.314,0.306,0.147,
08/04,0.253,0.297,0.221,0.291,0.293,0.237,0.2,0.253,0.218,0.28,0.275,0.117,
08/05,0.244,0.285,0.212,0.28,0.282,0.229,0.194,0.241,0.205,0.107,0.265,0.067,
08/06,0.238,0.279,0.203,0.274,0.274,0.223,0.189,0.236,0.198,0.29,0.255,0.22,
08/07,0.241,0.282,0.197,0.275,0.275,0.225,0.192,0.238,0.195,0.243,0.252,0.12,
08/08,0.24,0.282,0.192,0.273,0.273,0.227,0.191,0.235,0.191,0.25,0.252,0.16,
08/09,0.252,0.295,0.193,0.284,0.285,0.236,0.2,0.245,0.195,0.27,0.262,0.18,
08/10,0.25,0.293,0.185,0.281,0.282,0.235,0.198,0.243,0.184,0.077,0.195,0.18,
08/11,0.254,0.298,0.18,0.283,0.285,0.238,0.202,0.244,0.203,0.26,0.255,0.17,
08/12,0.262,0.308,0.178,0.292,0.292,0.245,0.208,0.249,0.205,0.25,0.258,0.2,
08/13,0.247,0.29,0.161,0.274,0.276,0.232,0.196,0.235,0.188,0.23,0.245,0.17,
08/14,0.253,0.298,0.164,0.28,0.282,0.24,0.203,0.238,0.188,0.29,0.249,0.14,
08/15,0.251,0.296,0.135,0.277,0.277,0.238,0.201,0.238,0.184,0.0,0.207,0.14,
08/16,0.246,0.289,0.167,0.27,0.271,0.232,0.195,0.23,0.177,,0.253,0.16,
08/17,0.251,0.295,0.159,0.272,0.275,0.236,0.202,0.232,0.178,,0.244,0.13,
08/18,0.244,0.288,0.147,0.265,0.267,0.23,0.195,0.223,0.168,,0.243,0.09,
08/19,0.239,0.278,0.135,0.255,0.255,0.222,0.189,0.215,0.159,,0.22,0.08,
08/20,0.215,0.253,0.107,0.229,0.231,0.202,0.172,0.194,0.137,,0.101,0.05,
08/21,0.207,0.242,0.117,0.218,0.219,0.194,0.164,0.182,0.133,,0.21,0.06,
08/22,0.238,0.278,0.138,0.251,0.252,0.223,0.19,0.208,0.147,,0.263,0.07,
08/23,0.21,0.245,0.109,0.22,0.22,0.195,0.167,0.181,0.129,,0.215,0.07,
08/24,0.216,0.252,0.113,0.225,0.226,0.203,0.171,0.184,0.127,,0.232,0.06,
08/25,0.212,0.248,0.068,0.22,0.222,0.198,0.168,0.18,0.116,,0.185,0.0,
08/26,0.207,0.242,0.17,0.214,0.215,0.194,0.164,0.174,0.107,,0.223,,
08/27,0.208,0.245,0.123,0.215,0.216,0.198,0.165,0.169,0.097,,0.177,,
08/28,0.207,0.242,0.137,0.212,0.213,0.193,0.162,0.165,0.091,,0.2,,
08/29,0.225,0.264,0.133,0.229,0.232,0.212,0.177,0.181,0.088,,0.267,,
08/30,0.222,0.261,0.12,0.225,0.227,0.208,0.172,0.171,0.076,,0.207,,
08/31,0.202,0.238,0.107,0.205,0.206,0.191,0.158,0.154,0.062,,0.187,,
09/01,0.217,0.255,0.057,0.217,0.219,0.205,0.168,0.132,0.016,,0.0,,
09/02,0.195,0.23,0.14,0.195,0.197,0.184,0.152,0.144,0.07,,,,
09/03,0.192,0.225,0.15,0.188,0.192,0.179,0.148,0.139,0.065,,,,
09/04,0.191,0.225,0.16,0.189,0.189,0.18,0.148,0.145,0.06,,,,
09/05,0.191,0.224,0.12,0.185,0.153,0.178,0.145,0.075,0.0,,,,
09/06,0.178,0.208,0.06,0.171,0.176,0.168,0.135,0.114,,,,,
09/07,0.195,0.226,0.11,0.184,0.191,0.182,0.145,0.122,,,,,
09/08,0.188,0.221,0.12,0.18,0.184,0.177,0.144,0.118,,,,,
09/09,0.187,0.219,0.1,0.177,0.17,0.176,0.141,0.12,,,,,
09/10,0.179,0.21,0.12,0.167,0.131,0.168,0.134,0.124,,,,,
09/11,0.187,0.22,0.12,0.174,0.171,0.177,0.139,0.13,,,,,
09/12,0.169,0.199,0.11,0.155,0.161,0.16,0.126,0.118,,,,,
09/13,0.155,0.183,0.08,0.144,0.163,0.146,0.116,0.122,,,,,
09/14,0.15,0.177,0.07,0.139,0.16,0.142,0.112,0.104,,,,,
09/15,0.167,0.197,0.0,0.153,0.07,0.158,0.124,0.024,,,,,
09/16,0.156,0.185,,0.142,0.18,0.148,0.116,0.12,,,,,
09/17,0.156,0.184,,0.14,0.153,0.147,0.115,0.13,,,,,
09/18,0.16,0.188,,0.142,0.12,0.152,0.116,0.1,,,,,
09/19,0.137,0.161,,0.122,0.12,0.128,0.1,0.11,,,,,
09/20,0.149,0.178,,0.104,0.0,0.142,0.108,0.12,,,,,
09/21,0.136,0.158,,0.122,,0.126,0.096,0.08,,,,,
09/22,0.131,0.153,,0.117,,0.123,0.092,0.08,,,,,
09/23,0.152,0.178,,0.123,,0.145,0.107,0.1,,,,,
09/24,0.155,0.182,,0.124,,0.146,0.108,0.06,,,,,
09/25,0.152,0.177,,0.099,,0.142,0.104,0.0,,,,,
09/26,0.148,0.174,,0.118,,0.139,0.099,,,,,,
09/27,0.158,0.186,,0.129,,0.148,0.103,,,,,,
09/28,0.142,0.165,,0.109,,0.131,0.091,,,,,,
09/29,0.14,0.164,,0.104,,0.13,0.088,,,,,,
09/30,0.132,0.155,,0.02,,0.125,0.081,,,,,,
10/01,0.12,0.142,,0.08,,0.112,0.072,,,,,,
10/02,0.128,0.151,,0.09,,0.12,0.075,,,,,,
10/03,0.138,0.162,,0.105,,0.128,0.078,,,,,,
10/04,0.114,0.132,,0.06,,0.105,0.064,,,,,,
10/05,0.107,0.126,,0.0,,0.102,0.058,,,,,,
10/06,0.111,0.13,,,,0.104,0.059,,,,,,
10/07,0.12,0.142,,,,0.113,0.062,,,,,,
10/08,0.12,0.141,,,,0.113,0.059,,,,,,
10/09,0.125,0.146,,,,0.117,0.06,,,,,,
10/10,0.0,0.0,,,,0.0,0.0,,,,,,
