# Station Code,kflo
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:33
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,APPL,BEAN,BEET,BLUB,CBBG,CHRY,CRT2,CRTS,GARL,GRSD,LAWN,LETC,ONYN,PAST,PEAS,POP1,POP2,POP3,POTA,PPMT,RAPE,SBRY,SCRN,SGRN,SPNC,WGRN,WGRP
02/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,
02/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,
02/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,
02/24,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,0.03,
02/25,,,,,,,,,,,,,0.02,,,0.03,,,,,,,,,,,,0.04,
02/26,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,0.02,
02/27,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,0.02,
02/28,,,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,0.03,
03/01,0.01,0.01,,,,,,,,,,0.03,0.01,,,0.02,,,,,,,,,,,,0.03,
03/02,0.01,0.01,,,,,,,,,,0.05,0.02,,,0.03,,,,,,,,,,,,0.035,
03/03,0.01,0.01,,,,,,,,,,0.01,0.015,,,0.025,,,,,,,,,,,,0.03,
03/04,0.02,0.02,,,,,,,,,,0.03,0.015,,,0.025,,,,,,,,,,,,0.03,
03/05,0.02,0.02,,,,,,,,,,0.05,0.02,,,0.03,,,,,,,,,,,,0.035,
03/06,0.02,0.02,,,,,,,,,,0.03,0.02,,,0.025,,,,,,,,,,,,0.04,
03/07,0.02,0.02,,,,,,,,,,0.05,0.025,,,0.03,,,,,,,,,,,,0.045,
03/08,0.03,0.03,,,,,,,,,,0.05,0.025,,,0.03,,,,,,,,,,,,0.04,
03/09,0.02,0.02,,,,,,,,,,0.04,0.03,,,0.03,,,,,,,,,,,,0.045,
03/10,0.015,0.015,,,,,,,,,,0.04,0.025,,,0.025,,,,,,,,,,,,0.035,
03/11,0.015,0.015,,,,,,,,,,0.05,0.025,,,0.02,,,,,,,,,,,,0.03,
03/12,0.015,0.015,,,,,,,,,,0.1,0.03,,,0.02,,,,,,,,,,,,0.035,
03/13,0.02,0.02,,,,,,,,,,0.04,0.04,,,0.035,,,,,,,,,,,,0.045,
03/14,0.025,0.025,,,,,,,,,,0.09,0.04,,,0.03,,,,,,,,,,,,0.045,
03/15,0.035,0.035,,,,0.01,,,,,,0.025,0.065,,,0.05,,,,,,,,,,,,0.07,
03/16,0.015,0.015,,,,0.01,,,,,,0.032,0.035,,,0.025,,,,,,,,,,,,0.033,
03/17,0.03,0.03,,,,0.01,,,,,,0.042,0.055,,,0.04,,,,,,,,,,,,0.048,
03/18,0.05,0.05,,,,0.02,,,,,,0.048,0.085,,,0.06,,,,,,,,,,,,0.055,
03/19,0.045,0.045,,,,0.02,,,,,,0.044,0.07,,,0.055,,,,,,,,,,,,0.06,
03/20,0.035,0.035,,,,0.02,,,,,0.02,0.036,0.035,,,0.035,,,,,,,,,,,,0.042,
03/21,0.04,0.04,,,,0.04,,,,,0.02,0.046,0.04,,,0.038,,,,,,,,,,,,0.048,
03/22,0.045,0.045,,,,0.02,,,,,0.03,0.044,0.04,,,0.036,,,,,,,,,,,,0.048,
03/23,0.04,0.04,,,,0.04,,,,,0.03,0.066,0.04,,,0.034,,,,,,,,,,,,0.05,
03/24,0.05,0.05,,,,0.03,,,,,0.03,0.048,0.048,,,0.038,,,,,,,,,,,,0.053,
03/25,0.035,0.035,,,,0.02,,,,,0.018,0.048,0.038,,,0.033,,,,,,,,,,,,0.053,
03/26,0.035,0.035,,,,0.04,,,,,0.025,0.065,0.037,,,0.034,,,,,,,,,,,,0.057,
03/27,0.048,0.048,,,,0.08,,,,,0.025,0.063,0.048,,,0.041,,,,,,,,,,,,0.063,
03/28,0.055,0.055,,,,0.09,,,,,0.025,0.073,0.057,,,0.047,,,,,,,,,,,,0.072,
03/29,0.062,0.062,,,,0.08,,,,,0.025,0.072,0.065,,,0.05,,,,,,,,,,,,0.078,
03/30,0.06,0.06,,,,0.09,,,,,0.022,0.072,0.062,,,0.051,,,,,,,,,,,,0.075,
03/31,0.053,0.053,,,,0.13,,,,,0.028,0.085,0.06,,,0.049,,,,,,,,,,,,0.07,
04/01,0.036,0.036,,,,0.1,,,,,0.022,0.08,0.057,,,0.047,,,,,,,,0.02,,,,0.059,
04/02,0.043,0.043,,,,0.12,,,,,0.025,0.087,0.07,,,0.053,,,,,,,,0.03,,,,0.063,
04/03,0.047,0.047,,,,0.14,,,,,0.028,0.093,0.075,,,0.054,,,,,,,,0.02,,,,0.066,
04/04,0.044,0.044,,,,0.11,,,,,0.018,0.077,0.065,,,0.046,,,,,,,,0.03,,,,0.059,
04/05,0.041,0.041,,,,0.07,,,,,0.022,0.083,0.049,,,0.045,,,,,,,,0.03,,,,0.061,
04/06,0.057,0.057,,,,0.04,,,,,0.024,0.09,0.057,,,0.048,,,,,,,,0.04,,,,0.074,
04/07,0.066,0.066,,,,0.13,,,,,0.036,0.128,0.072,,,0.058,,,,,,,,0.04,,,,0.089,
04/08,0.083,0.083,,,,0.18,,,,,0.038,0.137,0.079,,,0.066,,,,,,,,0.05,,,,0.103,
04/09,0.089,0.089,,,,0.19,,,,,0.04,0.155,0.086,,,0.068,,,,,,,,0.04,,,,0.113,
04/10,0.057,0.057,,,,0.15,,,,,0.038,0.14,0.07,,,0.06,,,,,,,,0.03,,,,0.09,
04/11,0.048,0.048,,,,0.12,,,,,0.026,0.1,0.061,,,0.052,,,,,,,,0.03,,,,0.075,
04/12,0.058,0.058,,,,0.11,,,,,0.03,0.123,0.079,,,0.063,,,,,,,,0.02,,,,0.089,
04/13,0.069,0.069,,,,0.11,,,,,0.032,0.135,0.09,,,0.07,,,,,,,,0.03,,,,0.103,
04/14,0.06,0.062,,,,0.13,,,,,0.03,0.133,0.083,,,0.063,,,,,,,,0.02,,,,0.09,
04/15,0.061,0.062,,,,0.065,,,,,0.032,0.128,0.08,,,0.061,0.03,,,,,,,0.035,,,,0.092,
04/16,0.069,0.071,,,,0.05,,,,,0.038,0.152,0.09,,,0.068,0.02,,,,,,,0.035,,,,0.1,
04/17,0.08,0.081,,,,0.07,,,,,0.04,0.147,0.097,,,0.076,0.03,,,,,,,0.055,,,,0.109,
04/18,0.092,0.094,,,,0.065,,,,,0.046,0.16,0.111,,,0.085,0.03,,,,,,,0.055,,,,0.119,
04/19,0.092,0.094,,,,0.1,,,,,0.04,0.145,0.106,,,0.082,0.04,,,,,,,0.065,,,,0.115,
04/20,0.081,0.083,,,,0.062,,,,,0.036,0.127,0.101,,,0.075,0.03,,,,,,,0.065,,,,0.11,
04/21,0.095,0.099,,,,0.08,,,,,0.046,0.17,0.122,,,0.091,0.03,,,,,,,0.07,,,,0.13,
04/22,0.094,0.098,,,,0.087,,,,,0.052,0.172,0.122,,,0.089,0.04,,,,,,,0.055,,,,0.128,
04/23,0.092,0.095,,,,0.092,,,,,0.062,0.193,0.122,,,0.088,0.04,,,,,,,0.06,,,,0.127,
04/24,0.099,0.103,,,,0.105,,,,,0.068,0.178,0.122,,,0.092,0.04,,,,,,,0.065,,,,0.13,
04/25,0.099,0.104,,,,0.07,,,,0.01,0.072,0.172,0.115,,,0.088,0.01,,,,,0.02,,0.07,,,,0.126,0.02
04/26,0.11,0.115,,,,0.083,,,,0.01,0.08,0.2,0.13,,,0.099,0.02,,,,,0.025,,0.065,,,,0.141,0.035
04/27,0.126,0.134,,,,0.072,,,,0.01,0.076,0.197,0.145,,,0.11,0.03,,,,,0.035,,0.09,,,,0.159,0.03
04/28,0.124,0.132,,,,0.058,,,,0.01,0.074,0.193,0.145,,,0.11,0.05,,,,,0.035,,0.12,,,,0.158,0.025
04/29,0.132,0.139,,,,0.07,,,,0.01,0.07,0.195,0.151,,,0.115,0.06,,,,,0.035,,0.115,,,,0.164,0.03
04/30,0.15,0.16,,,,0.08,,,,0.01,0.076,0.192,0.165,,,0.128,0.06,0.03,0.03,0.03,,0.05,,0.14,,,,0.185,0.033
05/01,0.152,0.162,,,,0.08,0.02,,0.01,0.01,0.07,0.18,0.167,,0.065,0.129,0.06,0.04,0.04,0.05,,0.043,0.05,0.16,,,,0.185,0.037
05/02,0.147,0.156,,,,0.089,0.02,,0.013,0.01,0.072,0.175,0.158,,0.055,0.122,0.07,0.03,0.03,0.04,,0.04,0.04,0.145,,,,0.175,0.037
05/03,0.148,0.157,,,,0.1,0.02,,0.017,0.01,0.078,0.187,0.161,,0.05,0.126,0.07,0.02,0.02,0.03,,0.033,0.02,0.135,,,,0.178,0.033
05/04,0.157,0.167,,,,0.103,0.02,,0.017,0.013,0.08,0.187,0.168,,0.065,0.134,0.09,0.02,0.03,0.03,,0.037,0.02,0.15,,,,0.188,0.04
05/05,0.143,0.152,,,,0.107,0.017,,0.018,0.012,0.078,0.19,0.152,,0.061,0.121,0.05,0.028,0.028,0.03,,0.03,0.02,0.12,,,,0.172,0.033
05/06,0.156,0.167,,,,0.124,0.02,,0.02,0.012,0.092,0.203,0.158,,0.072,0.128,0.045,0.03,0.035,0.037,,0.037,0.03,0.14,,,,0.182,0.037
05/07,0.162,0.174,,,,0.126,0.023,,0.023,0.015,0.088,0.193,0.163,,0.078,0.132,0.055,0.037,0.042,0.047,,0.043,0.06,0.23,,,,0.189,0.039
05/08,0.16,0.174,,,,0.126,0.023,,0.025,0.017,0.087,0.183,0.16,,0.081,0.128,0.06,0.038,0.047,0.055,,0.043,0.05,0.23,,,,0.188,0.039
05/09,0.181,0.196,,,,0.15,0.027,,0.032,0.018,0.102,0.21,0.179,,0.097,0.146,0.065,0.045,0.053,0.062,,0.05,0.06,0.235,,,,0.21,0.044
05/10,0.17,0.184,0.043,,,0.092,0.021,0.043,0.03,0.02,0.093,0.19,0.168,,0.083,0.138,0.055,0.043,0.053,0.067,,0.042,0.05,0.205,,0.04,,0.198,0.038
05/11,0.164,0.176,0.037,,,0.098,0.019,0.037,0.03,0.02,0.105,0.207,0.161,,0.086,0.132,0.048,0.038,0.047,0.063,,0.037,0.06,0.2,,0.04,,0.192,0.036
05/12,0.177,0.192,0.043,,,0.104,0.024,0.043,0.035,0.02,0.105,0.21,0.175,,0.097,0.144,0.058,0.047,0.06,0.073,,0.043,0.07,0.2,,0.04,,0.206,0.039
05/13,0.188,0.207,0.047,,,0.107,0.026,0.047,0.042,0.022,0.11,0.217,0.185,,0.104,0.152,0.06,0.05,0.067,0.083,,0.048,0.08,0.205,,0.047,,0.218,0.045
05/14,0.181,0.198,0.047,,,0.105,0.024,0.047,0.047,0.027,0.102,0.192,0.175,,0.107,0.145,0.062,0.052,0.073,0.092,,0.053,0.06,0.185,,0.053,,0.21,0.045
05/15,0.181,0.198,0.043,,,0.117,0.02,0.043,0.045,0.019,0.117,0.222,0.173,,0.111,0.145,0.05,0.048,0.07,0.087,,0.048,0.048,0.074,,0.057,,0.209,0.048
05/16,0.164,0.182,0.04,,,0.104,0.02,0.04,0.043,0.021,0.097,0.188,0.157,,0.101,0.131,0.044,0.048,0.065,0.082,,0.05,0.047,0.067,,0.043,,0.191,0.045
05/17,0.178,0.196,0.043,,,0.119,0.021,0.044,0.048,0.02,0.113,0.207,0.166,,0.111,0.141,0.051,0.052,0.077,0.098,,0.057,0.058,0.087,,0.043,,0.206,0.047
05/18,0.16,0.178,0.041,,,0.114,0.02,0.043,0.045,0.021,0.105,0.183,0.152,,0.098,0.127,0.053,0.048,0.072,0.097,,0.048,0.052,0.084,,0.05,,0.186,0.046
05/19,0.163,0.184,0.044,,,0.121,0.019,0.046,0.047,0.021,0.112,0.18,0.154,,0.1,0.131,0.056,0.05,0.072,0.097,,0.047,0.05,0.084,,0.05,,0.189,0.048
05/20,0.167,0.188,0.043,,,0.132,0.019,0.044,0.047,0.021,0.122,0.198,0.155,,0.1,0.134,0.056,0.045,0.068,0.09,0.04,0.049,0.042,0.07,0.045,0.052,,0.194,0.054
05/21,0.175,0.199,0.053,,,0.138,0.023,0.054,0.057,0.024,0.12,0.187,0.163,,0.103,0.139,0.064,0.053,0.082,0.107,0.05,0.06,0.053,0.087,0.062,0.05,,0.202,0.055
05/22,0.176,0.205,0.054,,,0.145,0.021,0.057,0.062,0.029,0.127,0.188,0.166,,0.105,0.141,0.069,0.058,0.085,0.115,0.05,0.06,0.057,0.094,0.055,0.055,,0.205,0.058
05/23,0.189,0.219,0.057,,,0.163,0.021,0.06,0.062,0.029,0.15,0.223,0.178,,0.115,0.151,0.069,0.06,0.092,0.123,0.06,0.061,0.062,0.093,0.058,0.06,,0.22,0.068
05/24,0.202,0.235,0.067,,,0.175,0.024,0.07,0.072,0.033,0.15,0.225,0.189,,0.122,0.16,0.079,0.068,0.103,0.138,0.075,0.077,0.077,0.11,0.068,0.062,,0.235,0.076
05/25,0.184,0.214,0.066,,,0.161,0.021,0.069,0.07,0.034,0.142,0.205,0.172,,0.115,0.145,0.071,0.06,0.093,0.124,0.08,0.076,0.074,0.106,0.072,0.052,,0.215,0.075
05/26,0.181,0.214,0.066,,,0.164,0.02,0.069,0.072,0.034,0.145,0.207,0.172,,0.113,0.145,0.07,0.06,0.09,0.12,0.075,0.077,0.074,0.104,0.072,0.052,,0.214,0.077
05/27,0.18,0.211,0.066,,,0.167,0.024,0.07,0.07,0.033,0.142,0.2,0.17,,0.111,0.145,0.076,0.06,0.091,0.123,0.07,0.081,0.079,0.109,0.076,0.049,,0.211,0.078
05/28,0.192,0.225,0.074,,,0.182,0.021,0.079,0.077,0.036,0.162,0.223,0.179,,0.118,0.153,0.081,0.064,0.099,0.136,0.073,0.083,0.087,0.114,0.068,0.06,,0.225,0.088
05/29,0.207,0.243,0.087,,,0.197,0.027,0.091,0.085,0.041,0.162,0.227,0.194,,0.124,0.166,0.093,0.073,0.111,0.156,0.068,0.096,0.106,0.127,0.078,0.068,,0.242,0.098
05/30,0.206,0.243,0.093,,,0.198,0.026,0.096,0.09,0.044,0.162,0.222,0.195,,0.128,0.167,0.091,0.074,0.121,0.163,0.068,0.104,0.119,0.127,0.08,0.072,,0.243,0.102
05/31,0.201,0.236,0.089,,,0.195,0.024,0.09,0.093,0.047,0.157,0.218,0.188,,0.124,0.162,0.09,0.074,0.121,0.166,0.075,0.104,0.129,0.126,0.078,0.076,,0.236,0.102
06/01,0.206,0.243,0.099,,0.035,0.209,0.024,0.103,0.084,0.049,0.173,0.233,0.194,,0.122,0.165,0.097,0.079,0.129,0.176,0.066,0.104,0.137,0.136,0.07,0.083,,0.243,0.114
06/02,0.214,0.252,0.109,,0.04,0.22,0.031,0.113,0.09,0.051,0.178,0.23,0.202,,0.125,0.172,0.11,0.083,0.139,0.191,0.072,0.116,0.154,0.15,0.077,0.085,,0.252,0.121
06/03,0.222,0.26,0.117,,0.035,0.232,0.031,0.121,0.096,0.054,0.197,0.242,0.208,,0.132,0.177,0.117,0.084,0.139,0.196,0.082,0.124,0.16,0.154,0.077,0.093,,0.26,0.13
06/04,0.22,0.258,0.121,,0.03,0.234,0.033,0.124,0.1,0.054,0.193,0.237,0.205,,0.13,0.175,0.12,0.087,0.143,0.2,0.088,0.131,0.176,0.167,0.077,0.092,,0.258,0.132
06/05,0.232,0.272,0.137,0.03,0.06,0.249,0.04,0.14,0.114,0.063,0.192,0.232,0.218,,0.137,0.185,0.134,0.096,0.157,0.223,0.09,0.153,0.2,0.177,0.089,0.108,0.03,0.272,0.144
06/06,0.226,0.265,0.153,0.04,0.059,0.247,0.049,0.156,0.123,0.07,0.173,0.202,0.213,,0.135,0.18,0.151,0.101,0.169,0.237,0.089,0.166,0.219,0.193,0.096,0.118,0.04,0.265,0.144
06/07,0.212,0.248,0.146,0.05,0.057,0.236,0.054,0.149,0.113,0.064,0.17,0.19,0.2,,0.125,0.169,0.144,0.093,0.156,0.216,0.082,0.154,0.203,0.183,0.089,0.121,0.05,0.248,0.14
06/08,0.216,0.253,0.156,0.06,0.058,0.245,0.069,0.159,0.121,0.07,0.17,0.183,0.202,,0.128,0.173,0.151,0.1,0.164,0.233,0.083,0.163,0.224,0.193,0.093,0.138,0.06,0.253,0.145
06/09,0.229,0.271,0.17,0.05,0.063,0.268,0.08,0.173,0.136,0.08,0.183,0.192,0.216,,0.14,0.184,0.164,0.107,0.174,0.246,0.093,0.183,0.249,0.207,0.1,0.158,0.04,0.271,0.16
06/10,0.223,0.262,0.157,0.054,0.062,0.262,0.084,0.159,0.127,0.073,0.2,0.203,0.21,,0.136,0.178,0.157,0.097,0.161,0.224,0.09,0.167,0.229,0.19,0.09,0.165,0.05,0.262,0.16
06/11,0.222,0.26,0.15,0.054,0.065,0.258,0.084,0.151,0.127,0.074,0.215,0.207,0.208,,0.138,0.176,0.151,0.091,0.154,0.216,0.095,0.166,0.224,0.186,0.087,0.176,0.08,0.26,0.161
06/12,0.228,0.267,0.163,0.059,0.065,0.265,0.101,0.163,0.133,0.077,0.21,0.21,0.214,,0.142,0.181,0.166,0.099,0.163,0.224,0.095,0.179,0.237,0.201,0.093,0.185,0.12,0.267,0.167
06/13,0.229,0.27,0.177,0.059,0.068,0.268,0.117,0.179,0.137,0.08,0.213,0.2,0.216,,0.145,0.182,0.181,0.101,0.169,0.231,0.1,0.18,0.243,0.213,0.096,0.199,0.11,0.27,0.172
06/14,0.239,0.281,0.187,0.064,0.069,0.279,0.139,0.189,0.141,0.084,0.225,0.195,0.224,,0.153,0.192,0.194,0.106,0.176,0.244,0.107,0.189,0.254,0.226,0.101,0.219,0.1,0.281,0.179
06/15,0.228,0.267,0.193,0.067,0.07,0.265,0.149,0.193,0.146,0.086,0.208,0.163,0.213,,0.149,0.182,0.203,0.104,0.174,0.24,0.102,0.196,0.259,0.227,0.101,0.218,0.11,0.267,0.172
06/16,0.227,0.267,0.187,0.064,0.068,0.265,0.149,0.187,0.137,0.081,0.223,0.173,0.214,,0.152,0.18,0.197,0.101,0.169,0.229,0.106,0.181,0.241,0.217,0.094,0.225,0.1,0.267,0.173
06/17,0.228,0.269,0.194,0.07,0.07,0.268,0.164,0.194,0.144,0.086,0.225,0.163,0.216,,0.155,0.182,0.211,0.104,0.173,0.237,0.109,0.19,0.251,0.227,0.099,0.233,0.09,0.269,0.176
06/18,0.221,0.258,0.191,0.067,0.068,0.257,0.163,0.191,0.144,0.086,0.218,0.15,0.205,,0.153,0.175,0.206,0.099,0.164,0.224,0.113,0.189,0.241,0.221,0.096,0.227,0.06,0.258,0.169
06/19,0.252,0.295,0.236,0.087,0.081,0.293,0.211,0.236,0.171,0.103,0.238,0.147,0.236,,0.178,0.201,0.256,0.117,0.2,0.273,0.128,0.226,0.291,0.274,0.119,0.264,0.1,0.295,0.192
06/20,0.241,0.282,0.231,0.087,0.08,0.281,0.21,0.231,0.169,0.1,0.233,0.132,0.226,,0.176,0.192,0.254,0.117,0.196,0.267,0.122,0.221,0.281,0.27,0.119,0.258,0.11,0.282,0.185
06/21,0.257,0.303,0.254,0.1,0.087,0.302,0.231,0.254,0.183,0.11,0.252,0.133,0.242,,0.193,0.205,0.281,0.126,0.213,0.291,0.135,0.247,0.306,0.293,0.127,0.284,0.13,0.303,0.198
06/22,0.267,0.313,0.244,0.1,0.093,0.311,0.224,0.244,0.176,0.107,0.295,0.147,0.251,,0.204,0.212,0.27,0.121,0.203,0.277,0.146,0.236,0.294,0.28,0.127,0.297,0.16,0.313,0.205
06/23,0.258,0.304,0.237,0.106,0.092,0.302,0.221,0.237,0.17,0.103,0.287,0.135,0.244,,0.202,0.208,0.264,0.117,0.196,0.267,0.148,0.233,0.284,0.274,0.127,0.291,0.16,0.303,0.198
06/24,0.245,0.288,0.243,0.113,0.089,0.285,0.23,0.243,0.176,0.104,0.258,0.112,0.229,,0.197,0.195,0.273,0.119,0.2,0.271,0.142,0.237,0.289,0.274,0.133,0.278,0.17,0.287,0.188
06/25,0.237,0.279,0.209,0.103,0.089,0.277,0.201,0.209,0.15,0.09,0.292,0.117,0.223,0.04,0.194,0.188,0.233,0.103,0.173,0.234,0.147,0.204,0.244,0.236,0.116,0.272,0.12,0.279,0.182
06/26,0.255,0.3,0.226,0.119,0.099,0.298,0.221,0.227,0.167,0.1,0.313,0.118,0.241,0.04,0.216,0.204,0.259,0.113,0.186,0.254,0.165,0.224,0.269,0.256,0.13,0.292,0.12,0.299,0.195
06/27,0.258,0.304,0.239,0.134,0.105,0.302,0.233,0.24,0.179,0.107,0.308,0.115,0.245,0.04,0.225,0.206,0.271,0.119,0.197,0.269,0.168,0.237,0.28,0.27,0.136,0.296,0.12,0.303,0.2
06/28,0.241,0.282,0.237,0.139,0.095,0.28,0.227,0.239,0.179,0.107,0.275,0.097,0.227,0.02,0.214,0.191,0.267,0.117,0.197,0.263,0.16,0.236,0.274,0.261,0.14,0.278,0.1,0.28,0.184
06/29,0.248,0.292,0.251,0.156,0.104,0.29,0.244,0.253,0.19,0.114,0.28,0.097,0.234,0.03,0.225,0.199,0.283,0.124,0.209,0.279,0.172,0.253,0.29,0.274,0.147,0.292,0.13,0.289,0.19
06/30,0.268,0.316,0.289,0.187,0.116,0.313,0.281,0.29,0.214,0.131,0.292,0.098,0.253,0.05,0.246,0.215,0.324,0.141,0.237,0.319,0.189,0.29,0.33,0.314,0.173,0.316,0.155,0.311,0.207
07/01,0.275,0.324,0.3,0.206,0.125,0.321,0.294,0.301,0.223,0.139,0.297,0.095,0.259,0.05,0.256,0.219,0.334,0.144,0.246,0.329,0.198,0.303,0.341,0.326,0.183,0.324,0.1,0.315,0.211
07/02,0.272,0.321,0.293,0.211,0.128,0.318,0.287,0.294,0.217,0.136,0.305,0.093,0.258,0.048,0.258,0.218,0.32,0.144,0.239,0.321,0.201,0.294,0.331,0.311,0.181,0.321,0.11,0.313,0.208
07/03,0.258,0.304,0.287,0.214,0.125,0.301,0.284,0.289,0.213,0.134,0.278,0.087,0.243,0.048,0.248,0.207,0.309,0.141,0.233,0.313,0.196,0.287,0.321,0.303,0.179,0.304,0.11,0.294,0.198
