# Station Code,kflo
07/04,0.259,0.306,0.291,0.224,0.132,0.303,0.29,0.293,0.214,0.133,0.287,0.085,0.245,0.045,0.252,0.207,0.309,0.144,0.237,0.317,0.201,0.29,0.323,0.303,0.184,0.306,0.118,0.294,0.198
07/05,0.268,0.316,0.294,0.237,0.142,0.311,0.293,0.296,0.21,0.133,0.31,0.09,0.252,0.048,0.265,0.215,0.306,0.143,0.24,0.317,0.212,0.291,0.323,0.306,0.189,0.316,0.095,0.302,0.207
07/06,0.27,0.318,0.307,0.253,0.147,0.313,0.31,0.309,0.216,0.136,0.307,0.087,0.254,0.05,0.268,0.216,0.31,0.149,0.246,0.329,0.217,0.301,0.333,0.316,0.199,0.318,0.101,0.301,0.207
07/07,0.265,0.312,0.303,0.259,0.151,0.305,0.304,0.303,0.214,0.134,0.3,0.082,0.251,0.052,0.271,0.212,0.303,0.146,0.239,0.321,0.221,0.3,0.326,0.309,0.201,0.312,0.11,0.289,0.203
07/08,0.238,0.278,0.247,0.214,0.14,0.272,0.25,0.247,0.171,0.107,0.303,0.083,0.222,0.05,0.244,0.188,0.237,0.119,0.197,0.261,0.195,0.239,0.263,0.247,0.163,0.278,0.105,0.262,0.181
07/09,0.253,0.298,0.283,0.253,0.154,0.291,0.289,0.283,0.196,0.123,0.303,0.082,0.238,0.055,0.267,0.202,0.269,0.137,0.224,0.299,0.22,0.276,0.299,0.281,0.191,0.298,0.125,0.274,0.193
07/10,0.251,0.295,0.266,0.241,0.156,0.288,0.273,0.266,0.186,0.113,0.322,0.068,0.235,0.052,0.268,0.201,0.243,0.129,0.214,0.28,0.221,0.259,0.28,0.263,0.184,0.295,0.117,0.27,0.192
07/11,0.262,0.308,0.259,0.241,0.168,0.299,0.27,0.259,0.18,0.11,0.362,0.088,0.246,0.056,0.282,0.208,0.229,0.126,0.207,0.271,0.235,0.253,0.271,0.256,0.183,0.308,0.132,0.282,0.2
07/12,0.266,0.312,0.266,0.256,0.177,0.304,0.279,0.266,0.184,0.114,0.362,0.09,0.251,0.058,0.291,0.212,0.233,0.131,0.214,0.28,0.244,0.263,0.28,0.261,0.191,0.312,0.143,0.278,0.204
07/13,0.262,0.307,0.279,0.269,0.178,0.299,0.294,0.279,0.196,0.117,0.337,0.082,0.245,0.06,0.287,0.208,0.236,0.136,0.224,0.293,0.246,0.276,0.293,0.274,0.207,0.307,0.142,0.262,0.2
07/14,0.27,0.318,0.296,0.29,0.189,0.309,0.319,0.297,0.209,0.124,0.342,0.086,0.255,0.065,0.3,0.215,0.243,0.146,0.239,0.31,0.258,0.291,0.31,0.291,0.223,0.318,0.16,0.264,0.206
07/15,0.275,0.323,0.303,0.297,0.198,0.3,0.324,0.304,0.211,0.127,0.345,0.022,0.258,0.068,0.312,0.218,0.239,0.151,0.244,0.317,0.268,0.299,0.317,0.297,0.233,0.323,0.167,0.262,0.209
07/16,0.257,0.302,0.279,0.277,0.192,0.299,0.304,0.28,0.196,0.117,0.328,0.08,0.242,0.068,0.294,0.205,0.21,0.14,0.227,0.293,0.254,0.277,0.293,0.271,0.22,0.302,0.167,0.236,0.196
07/17,0.268,0.314,0.289,0.287,0.204,0.307,0.316,0.29,0.203,0.119,0.345,0.09,0.252,0.074,0.305,0.212,0.21,0.144,0.236,0.303,0.265,0.287,0.303,0.281,0.231,0.314,0.186,0.238,0.204
07/18,0.264,0.31,0.273,0.271,0.205,0.302,0.303,0.274,0.19,0.113,0.357,0.09,0.248,0.075,0.303,0.209,0.187,0.137,0.223,0.286,0.265,0.271,0.286,0.267,0.22,0.31,0.19,0.228,0.2
07/19,0.267,0.314,0.283,0.281,0.215,0.307,0.313,0.284,0.197,0.116,0.35,0.09,0.252,0.08,0.306,0.213,0.186,0.143,0.231,0.297,0.272,0.281,0.297,0.277,0.234,0.314,0.203,0.218,0.204
07/20,0.275,0.323,0.29,0.287,0.227,0.314,0.319,0.29,0.2,0.119,0.367,0.0,0.258,0.084,0.315,0.218,0.18,0.147,0.234,0.301,0.282,0.287,0.301,0.28,0.243,0.323,0.22,0.218,0.21
07/21,0.264,0.308,0.279,0.276,0.224,0.301,0.303,0.279,0.189,0.11,0.35,,0.246,0.083,0.3,0.209,0.16,0.144,0.23,0.289,0.271,0.276,0.289,0.267,0.234,0.308,0.215,0.204,0.201
07/22,0.279,0.328,0.313,0.31,0.245,0.322,0.337,0.314,0.214,0.124,0.348,,0.262,0.094,0.321,0.222,0.164,0.164,0.259,0.326,0.289,0.31,0.326,0.3,0.269,0.328,0.24,0.208,0.212
07/23,0.273,0.322,0.307,0.301,0.246,0.318,0.327,0.307,0.209,0.12,0.343,,0.258,0.095,0.315,0.217,0.157,0.157,0.253,0.317,0.286,0.301,0.317,0.29,0.269,0.322,0.246,0.194,0.209
07/24,0.263,0.308,0.287,0.281,0.245,0.307,0.301,0.287,0.193,0.111,0.338,,0.247,0.095,0.302,0.209,0.141,0.147,0.239,0.297,0.278,0.281,0.297,0.27,0.256,0.308,0.244,0.174,0.201
07/25,0.265,0.312,0.29,0.287,0.255,0.307,0.301,0.29,0.196,0.111,0.342,,0.248,0.098,0.306,0.212,0.137,0.15,0.241,0.3,0.282,0.287,0.299,0.276,0.26,0.312,0.258,0.139,0.203
07/26,0.262,0.31,0.274,0.273,0.262,0.302,0.277,0.274,0.186,0.106,0.357,,0.249,0.102,0.305,0.211,0.142,0.141,0.229,0.284,0.282,0.273,0.283,0.26,0.254,0.31,0.261,0.183,0.202
07/27,0.246,0.288,0.287,0.281,0.252,0.281,0.279,0.287,0.19,0.107,0.292,,0.232,0.097,0.284,0.195,0.132,0.153,0.24,0.296,0.262,0.281,0.293,0.269,0.267,0.288,0.249,0.17,0.188
07/28,0.272,0.321,0.324,0.316,0.288,0.314,0.306,0.324,0.217,0.12,0.318,,0.258,0.113,0.316,0.218,0.14,0.171,0.27,0.333,0.293,0.316,0.327,0.3,0.304,0.321,0.282,0.176,0.208
07/29,0.277,0.324,0.316,0.309,0.297,0.318,0.287,0.316,0.209,0.114,0.335,,0.258,0.118,0.319,0.221,0.128,0.167,0.264,0.324,0.298,0.309,0.316,0.291,0.303,0.324,0.29,0.168,0.211
07/30,0.259,0.305,0.311,0.304,0.287,0.301,0.271,0.311,0.203,0.111,0.297,,0.243,0.114,0.302,0.208,0.11,0.167,0.261,0.32,0.282,0.304,0.309,0.284,0.303,0.305,0.276,0.144,0.198
07/31,0.251,0.294,0.31,0.304,0.278,0.288,0.256,0.31,0.2,0.111,0.27,,0.235,0.113,0.291,0.2,0.103,0.169,0.263,0.319,0.272,0.304,0.306,0.283,0.309,0.294,0.27,0.131,0.192
08/01,0.261,0.305,0.32,0.313,0.296,0.293,0.251,0.32,0.204,0.111,0.278,,0.244,0.121,0.302,0.208,0.1,0.173,0.271,0.329,0.283,0.313,0.314,0.291,0.32,0.305,0.285,0.112,0.199
08/02,0.254,0.298,0.297,0.291,0.288,0.283,0.214,0.297,0.189,0.101,0.288,,0.239,0.121,0.295,0.201,0.083,0.163,0.254,0.306,0.277,0.291,0.29,0.267,0.299,0.298,0.275,0.139,0.195
08/03,0.244,0.287,0.279,0.273,0.279,0.273,0.186,0.279,0.176,0.093,0.283,,0.23,0.12,0.285,0.195,0.077,0.153,0.239,0.286,0.266,0.273,0.269,0.249,0.28,0.287,0.266,0.119,0.188
08/04,0.24,0.282,0.283,0.276,0.282,0.272,0.171,0.283,0.174,0.093,0.26,,0.225,0.122,0.28,0.192,0.072,0.157,0.241,0.29,0.263,0.276,0.26,0.251,0.287,0.28,0.262,0.104,0.184
08/05,0.212,0.248,0.237,0.231,0.248,0.238,0.131,0.237,0.143,0.073,0.24,,0.2,0.112,0.247,0.167,0.053,0.129,0.204,0.241,0.23,0.231,0.217,0.214,0.239,0.246,0.232,0.04,0.164
08/06,0.228,0.268,0.27,0.26,0.268,0.258,0.137,0.27,0.16,0.083,0.24,,0.215,0.124,0.267,0.182,0.06,0.147,0.229,0.273,0.248,0.26,0.239,0.237,0.271,0.264,0.25,0.125,0.176
08/07,0.232,0.272,0.26,0.249,0.272,0.261,0.117,0.26,0.149,0.077,0.248,,0.219,0.132,0.272,0.185,0.058,0.14,0.22,0.26,0.252,0.249,0.216,0.224,0.259,0.265,0.252,0.1,0.178
08/08,0.234,0.274,0.249,0.239,0.274,0.259,0.103,0.249,0.141,0.073,0.258,,0.218,0.133,0.273,0.185,0.05,0.136,0.211,0.249,0.253,0.239,0.194,0.213,0.247,0.262,0.252,0.105,0.178
08/09,0.236,0.275,0.256,0.24,0.275,0.263,0.094,0.256,0.144,0.073,0.247,,0.221,0.139,0.275,0.186,0.046,0.139,0.216,0.256,0.255,0.246,0.191,0.22,0.256,0.255,0.252,0.105,0.18
08/10,0.233,0.273,0.257,0.237,0.273,0.262,0.081,0.257,0.143,0.071,0.23,,0.218,0.144,0.272,0.186,0.0,0.143,0.217,0.257,0.253,0.247,0.169,0.217,0.257,0.248,0.234,0.06,0.178
08/11,0.231,0.272,0.256,0.234,0.272,0.254,0.087,0.256,0.136,0.067,0.223,,0.218,0.146,0.272,0.185,,0.143,0.22,0.256,0.253,0.244,0.187,0.214,0.256,0.239,0.247,0.1,0.178
08/12,0.235,0.276,0.266,0.241,0.276,0.261,0.082,0.266,0.137,0.064,0.213,,0.219,0.151,0.275,0.187,,0.15,0.227,0.266,0.256,0.256,0.182,0.219,0.266,0.232,0.254,0.09,0.18
08/13,0.235,0.275,0.26,0.231,0.275,0.261,0.073,0.26,0.13,0.061,0.205,,0.219,0.155,0.274,0.186,,0.147,0.226,0.26,0.255,0.25,0.17,0.211,0.26,0.218,0.253,0.09,0.18
08/14,0.23,0.272,0.249,0.219,0.272,0.258,0.068,0.249,0.12,0.057,0.195,,0.217,0.158,0.272,0.185,,0.14,0.217,0.249,0.252,0.237,0.153,0.201,0.249,0.199,0.249,0.08,0.176
08/15,0.244,0.285,0.263,0.226,0.285,0.273,0.047,0.263,0.123,0.056,0.17,,0.228,0.17,0.285,0.194,,0.15,0.23,0.263,0.262,0.251,0.142,0.21,0.26,0.198,0.268,0.0,0.186
08/16,0.243,0.288,0.294,0.247,0.288,0.273,0.075,0.294,0.131,0.06,0.18,,0.231,0.176,0.287,0.196,,0.17,0.259,0.294,0.265,0.28,0.148,0.227,0.287,0.189,0.265,,0.188
08/17,0.239,0.282,0.291,0.24,0.282,0.268,0.075,0.291,0.121,0.056,0.162,,0.225,0.178,0.28,0.191,,0.17,0.254,0.291,0.258,0.277,0.137,0.227,0.284,0.17,0.256,,0.183
08/18,0.234,0.275,0.309,0.25,0.275,0.261,0.07,0.309,0.119,0.054,0.148,,0.222,0.176,0.267,0.186,,0.179,0.271,0.309,0.252,0.294,0.128,0.239,0.3,0.157,0.252,,0.18
08/19,0.245,0.288,0.314,0.247,0.288,0.27,0.07,0.314,0.114,0.051,0.136,,0.23,0.19,0.272,0.195,,0.183,0.279,0.314,0.263,0.3,0.123,0.241,0.301,0.148,0.26,,0.188
08/20,0.23,0.272,0.294,0.226,0.272,0.256,0.0,0.294,0.096,0.043,0.066,,0.217,0.183,0.25,0.185,,0.174,0.261,0.294,0.248,0.281,0.033,0.22,0.279,0.108,0.245,,0.177
08/21,0.21,0.246,0.276,0.204,0.246,0.228,,0.276,0.081,0.036,0.115,,0.198,0.171,0.22,0.168,,0.163,0.243,0.276,0.222,0.264,0.17,0.206,0.259,0.118,0.219,,0.162
08/22,0.208,0.245,0.26,0.187,0.245,0.228,,0.259,0.071,0.033,0.135,,0.196,0.173,0.213,0.165,,0.153,0.231,0.26,0.221,0.25,0.18,0.191,0.243,0.112,0.219,,0.162
08/23,0.207,0.243,0.247,0.173,0.243,0.228,,0.246,0.061,0.024,0.145,,0.195,0.175,0.205,0.165,,0.149,0.221,0.247,0.218,0.237,0.15,0.184,0.23,0.095,0.217,,0.159
08/24,0.207,0.243,0.237,0.159,0.243,0.227,,0.234,0.051,0.023,0.145,,0.194,0.177,0.198,0.164,,0.141,0.213,0.237,0.218,0.227,0.12,0.17,0.217,0.089,0.215,,0.161
08/25,0.202,0.236,0.224,0.146,0.236,0.218,,0.221,0.047,0.021,0.085,,0.188,0.175,0.186,0.157,,0.137,0.204,0.224,0.212,0.214,0.12,0.157,0.201,0.023,0.208,,0.155
08/26,0.215,0.253,0.256,0.16,0.253,0.237,,0.25,0.046,0.023,0.18,,0.204,0.191,0.192,0.169,,0.154,0.233,0.256,0.222,0.246,0.12,0.177,0.229,0.11,0.225,,0.167
08/27,0.22,0.258,0.246,0.147,0.258,0.244,,0.241,0.039,0.021,0.17,,0.206,0.197,0.185,0.172,,0.15,0.224,0.246,0.226,0.236,0.11,0.169,0.219,0.105,0.233,,0.169
08/28,0.214,0.251,0.233,0.133,0.251,0.233,,0.227,0.031,0.016,0.21,,0.2,0.195,0.173,0.168,,0.141,0.211,0.233,0.218,0.223,0.1,0.163,0.204,0.09,0.222,,0.163
08/29,0.217,0.255,0.237,0.127,0.255,0.238,,0.23,0.029,0.013,0.17,,0.203,0.201,0.168,0.171,,0.144,0.216,0.237,0.219,0.227,0.09,0.157,0.206,0.08,0.224,,0.166
08/30,0.207,0.242,0.22,0.111,0.241,0.227,,0.213,0.029,0.013,0.13,,0.193,0.193,0.152,0.16,,0.137,0.203,0.221,0.208,0.211,0.08,0.146,0.19,0.035,0.214,,0.157
08/31,0.199,0.233,0.229,0.11,0.232,0.217,,0.221,0.029,0.013,0.11,,0.188,0.191,0.136,0.154,,0.141,0.211,0.23,0.198,0.22,0.07,0.149,0.199,0.07,0.206,,0.152
09/01,0.193,0.227,0.237,0.106,0.225,0.211,,0.231,0.027,0.011,0.0,,0.181,0.188,0.038,0.149,,0.149,0.22,0.24,0.192,0.163,0.0,0.159,0.203,0.0,0.181,,0.148
09/02,0.22,0.258,0.233,0.097,0.253,0.235,,0.226,0.023,0.009,,,0.207,0.215,0.168,0.17,,0.146,0.217,0.236,0.217,0.218,,0.153,0.197,,0.224,,0.169
09/03,0.204,0.239,0.239,0.094,0.231,0.217,,0.233,0.021,0.004,,,0.192,0.202,0.133,0.155,,0.151,0.224,0.243,0.199,0.234,,0.143,0.2,,0.204,,0.155
09/04,0.191,0.224,0.219,0.079,0.215,0.201,,0.213,0.017,0.003,,,0.178,0.19,0.125,0.145,,0.143,0.21,0.224,0.184,0.212,,0.136,0.183,,0.19,,0.145
09/05,0.189,0.224,0.21,0.013,0.214,0.203,,0.203,0.016,0.003,,,0.179,0.178,0.0,0.145,,0.136,0.203,0.216,0.183,0.038,,0.121,0.02,,0.135,,0.145
09/06,0.185,0.217,0.211,0.08,0.207,0.2,,0.206,0.016,0.003,,,0.173,0.188,,0.141,,0.137,0.204,0.216,0.175,0.19,,0.17,0.18,,0.179,,0.142
09/07,0.185,0.218,0.2,0.08,0.207,0.206,,0.197,0.016,0.003,,,0.174,0.192,,0.139,,0.133,0.194,0.206,0.175,0.19,,0.154,0.21,,0.191,,0.142
09/08,0.202,0.238,0.223,0.07,0.225,0.218,,0.217,0.016,0.003,,,0.192,0.21,,0.151,,0.149,0.219,0.231,0.19,0.2,,0.17,0.23,,0.196,,0.154
09/09,0.209,0.246,0.234,0.08,0.232,0.227,,0.229,0.019,0.003,,,0.196,0.217,,0.156,,0.159,0.23,0.244,0.196,0.24,,0.174,0.21,,0.203,,0.161
09/10,0.189,0.221,0.206,0.0,0.207,0.2,,0.2,0.017,0.002,,,0.176,0.141,,0.138,,0.147,0.216,0.224,0.175,0.0,,0.154,0.0,,0.036,,0.145
09/11,0.199,0.234,0.253,,0.218,0.218,,0.244,0.11,0.01,,,0.186,0.209,,0.145,,0.186,0.271,0.283,0.183,,,0.192,,,0.155,,0.154
09/12,0.179,0.211,0.207,,0.194,0.196,,0.204,0.09,0.01,,,0.17,0.181,,0.13,,0.15,0.221,0.23,0.163,,,0.17,,,0.165,,0.138
09/13,0.184,0.215,0.187,,0.196,0.202,,0.181,0.08,0.01,,,0.172,0.198,,0.134,,0.146,0.211,0.22,0.165,,,0.146,,,0.19,,0.141
09/14,0.167,0.195,0.153,,0.176,0.18,,0.146,0.07,0.01,,,0.156,0.197,,0.119,,0.121,0.176,0.183,0.148,,,0.128,,,0.175,,0.128
09/15,0.168,0.195,0.159,,0.175,0.181,,0.153,0.06,0.0,,,0.155,0.054,,0.119,,0.093,0.131,0.139,0.147,,,0.142,,,0.0,,0.125
09/16,0.148,0.174,0.134,,0.155,0.158,,0.13,0.06,0.0,,,0.139,0.137,,0.105,,0.114,0.164,0.172,0.128,,,0.16,,,,,0.112
09/17,0.154,0.182,0.141,,0.162,0.166,,0.137,0.05,0.0,,,0.146,0.14,,0.109,,0.11,0.16,0.168,0.129,,,0.152,,,,,0.118
09/18,0.132,0.155,0.119,,0.137,0.138,,0.116,0.05,0.0,,,0.123,0.15,,0.092,,0.104,0.154,0.162,0.11,,,0.125,,,,,0.101
09/19,0.137,0.162,0.126,,0.142,0.144,,0.121,0.04,0.0,,,0.129,0.157,,0.094,,0.108,0.162,0.166,0.112,,,0.128,,,,,0.104
09/20,0.146,0.172,0.136,,0.151,0.151,,0.124,0.04,0.0,,,0.138,0.0,,0.097,,0.116,0.172,0.176,0.108,,,0.145,,,,,0.099
09/21,0.129,0.152,0.106,,0.132,0.138,,0.113,0.04,0.0,,,0.122,,,0.083,,0.096,0.142,0.144,0.101,,,0.107,,,,,0.103
09/22,0.126,0.148,0.097,,0.125,0.13,,0.105,0.03,0.0,,,0.118,,,0.078,,0.086,0.128,0.13,0.093,,,0.113,,,,,0.096
09/23,0.136,0.16,0.101,,0.136,0.142,,0.107,0.03,0.0,,,0.128,,,0.082,,0.096,0.142,0.144,0.101,,,0.135,,,,,0.104
09/24,0.143,0.168,0.099,,0.142,0.149,,0.102,0.03,0.0,,,0.136,,,0.082,,0.102,0.146,0.148,0.104,,,0.125,,,,,0.11
09/25,0.14,0.165,0.08,,0.138,0.139,,0.08,0.01,0.0,,,0.132,,,0.081,,0.096,0.138,0.14,0.073,,,0.075,,,,,0.081
09/26,0.14,0.164,0.09,,0.137,0.139,,0.087,0.01,,,,0.13,,,0.076,,0.11,0.16,0.162,0.103,,,0.092,,,,,0.108
09/27,0.145,0.172,0.09,,0.141,0.148,,0.092,0.01,,,,0.137,,,0.078,,0.102,0.152,0.154,0.09,,,0.095,,,,,0.109
09/28,0.127,0.148,0.077,,0.121,0.129,,0.078,0.01,,,,0.119,,,0.064,,0.1,0.144,0.146,0.076,,,0.087,,,,,0.092
09/29,0.117,0.137,0.069,,0.11,0.115,,0.072,0.01,,,,0.109,,,0.058,,0.09,0.132,0.134,0.066,,,0.077,,,,,0.089
09/30,0.013,0.015,0.06,,0.112,0.063,,0.07,0.01,,,,0.012,,,0.007,,0.02,0.03,0.032,0.014,,,0.098,,,,,0.058
10/01,0.09,0.11,0.07,,0.108,0.116,,0.07,0.0,,,,0.09,,,0.05,,0.1,0.14,0.15,0.1,,,0.095,,,,,0.096
10/02,0.04,0.05,0.06,,0.105,0.14,,0.06,0.0,,,,0.04,,,0.02,,0.1,0.14,0.15,0.1,,,0.092,,,,,0.086
10/03,0.03,0.03,0.056,,0.102,0.138,,0.056,0.0,,,,0.02,,,0.01,,0.05,0.08,0.08,0.05,,,0.09,,,,,0.082
10/04,0.07,0.08,0.056,,0.107,0.138,,0.056,0.0,,,,0.06,,,0.03,,0.05,0.07,0.07,0.05,,,0.085,,,,,0.09
10/05,0.0,0.0,0.0,,0.102,0.128,,0.0,0.0,,,,0.0,,,0.0,,0.05,0.07,0.07,0.04,,,0.077,,,,,0.0
10/06,,,,,0.104,0.13,,,0.0,,,,,,,,,0.05,0.08,0.08,0.05,,,0.075,,,,,
10/07,,,,,0.098,0.12,,,0.0,,,,,,,,,0.04,0.06,0.06,0.03,,,0.07,,,,,
10/08,,,,,0.095,0.103,,,0.0,,,,,,,,,0.05,0.07,0.07,0.04,,,0.06,,,,,
10/09,,,,,0.097,0.103,,,0.0,,,,,,,,,0.05,0.08,0.08,0.04,,,0.052,,,,,
10/10,,,,,0.087,0.09,,,0.0,,,,,,,,,0.03,0.04,0.04,0.0,,,0.048,,,,,
10/11,,,,,0.076,0.087,,,,,,,,,,,,0.05,0.08,0.08,,,,0.045,,,,,
10/12,,,,,0.072,0.087,,,,,,,,,,,,0.05,0.08,0.08,,,,0.045,,,,,
10/13,,,,,0.093,0.113,,,,,,,,,,,,0.06,0.09,0.09,,,,0.053,,,,,
10/14,,,,,0.087,0.103,,,,,,,,,,,,0.05,0.08,0.08,,,,0.048,,,,,
10/15,,,,,0.0,0.068,,,,,,,,,,,,0.05,0.07,0.07,,,,0.033,,,,,
10/16,,,,,,0.083,,,,,,,,,,,,0.06,0.09,0.09,,,,0.035,,,,,
10/17,,,,,,0.088,,,,,,,,,,,,0.08,0.11,0.11,,,,0.035,,,,,
10/18,,,,,,0.085,,,,,,,,,,,,0.06,0.09,0.09,,,,0.035,,,,,
10/19,,,,,,0.083,,,,,,,,,,,,0.06,0.09,0.09,,,,0.033,,,,,
10/20,,,,,,0.075,,,,,,,,,,,,0.0,0.0,0.0,,,,0.03,,,,,
10/21,,,,,,0.07,,,,,,,,,,,,,,,,,,0.022,,,,,
10/22,,,,,,0.068,,,,,,,,,,,,,,,,,,0.02,,,,,
10/23,,,,,,0.062,,,,,,,,,,,,,,,,,,0.02,,,,,
10/24,,,,,,0.077,,,,,,,,,,,,,,,,,,0.02,,,,,
10/25,,,,,,0.077,,,,,,,,,,,,,,,,,,0.02,,,,,
10/26,,,,,,0.058,,,,,,,,,,,,,,,,,,0.013,,,,,
10/27,,,,,,0.055,,,,,,,,,,,,,,,,,,0.013,,,,,
10/28,,,,,,0.043,,,,,,,,,,,,,,,,,,0.01,,,,,
10/29,,,,,,0.042,,,,,,,,,,,,,,,,,,0.01,,,,,
10/30,,,,,,0.058,,,,,,,,,,,,,,,,,,0.01,,,,,
10/31,,,,,,0.065,,,,,,,,,,,,,,,,,,0.01,,,,,
11/01,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,
