# Station Code,lbrw
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:34
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,FCRN,HAYM,HAYP,ORCH,PAST,POP1,POP2,POP3
02/11,,,,0.01,0.01,,0.0,,,
02/12,,,,0.03,0.03,,0.01,,,
02/13,,,,0.045,0.045,,0.015,,,
02/14,,,,0.06,0.06,,0.025,,,
02/15,0.0,0.0,,0.02,0.02,,0.01,,,
02/16,0.015,0.015,,0.053,0.057,,0.02,,,
02/17,0.015,0.015,,0.057,0.057,,0.022,,,
02/18,0.015,0.015,,0.06,0.06,,0.022,,,
02/19,0.02,0.02,,0.067,0.067,,0.028,,,
02/20,0.017,0.017,,0.062,0.064,,0.023,,,
02/21,0.013,0.013,,0.048,0.048,,0.018,,,
02/22,0.013,0.013,,0.048,0.048,,0.02,,,
02/23,0.017,0.017,,0.047,0.047,,0.02,,,
02/24,0.013,0.013,,0.042,0.043,,0.016,,,
02/25,0.014,0.014,,0.038,0.042,,0.018,,,
02/26,0.013,0.013,,0.042,0.042,0.01,0.018,,,
02/27,0.013,0.013,,0.043,0.043,0.01,0.021,,,
02/28,0.02,0.02,,0.06,0.06,0.01,0.026,,,
02/29,0.04,0.04,,0.09,0.09,0.01,0.045,,,
03/01,0.017,0.017,,0.049,0.049,0.01,0.026,,,
03/02,0.016,0.016,,0.047,0.047,0.02,0.023,,,
03/03,0.021,0.021,,0.057,0.057,0.01,0.029,,,
03/04,0.026,0.026,,0.062,0.062,0.02,0.029,,,
03/05,0.025,0.025,,0.062,0.063,0.01,0.029,,,
03/06,0.025,0.025,,0.061,0.062,0.03,0.032,,,
03/07,0.029,0.029,,0.067,0.066,0.03,0.034,,,
03/08,0.029,0.029,,0.061,0.061,0.03,0.031,,,
03/09,0.034,0.034,,0.069,0.071,0.03,0.038,,,
03/10,0.035,0.035,,0.068,0.068,0.027,0.036,,,
03/11,0.04,0.04,,0.073,0.073,0.02,0.038,,,
03/12,0.041,0.041,,0.075,0.075,0.02,0.04,,,
03/13,0.049,0.049,,0.079,0.079,0.027,0.042,,,
03/14,0.041,0.041,,0.064,0.064,0.02,0.036,,,
03/15,0.035,0.035,,0.062,0.062,0.016,0.035,,,
03/16,0.048,0.048,,0.082,0.082,0.024,0.047,,,
03/17,0.051,0.051,,0.083,0.083,0.023,0.046,,,
03/18,0.062,0.062,,0.098,0.098,0.029,0.057,,,
03/19,0.065,0.065,,0.1,0.1,0.034,0.056,,,
03/20,0.062,0.062,,0.089,0.09,0.028,0.053,,,
03/21,0.057,0.057,,0.083,0.084,0.027,0.048,,,
03/22,0.062,0.062,,0.09,0.091,0.027,0.053,,,
03/23,0.069,0.07,,0.095,0.098,0.032,0.059,,,
03/24,0.067,0.069,,0.088,0.091,0.032,0.056,,,
03/25,0.061,0.061,0.025,0.081,0.082,0.028,0.048,,,
03/26,0.076,0.078,0.04,0.097,0.099,0.035,0.062,,,
03/27,0.079,0.081,0.045,0.099,0.101,0.034,0.064,,,
03/28,0.079,0.082,0.035,0.102,0.102,0.038,0.065,,,
03/29,0.079,0.082,0.05,0.094,0.095,0.038,0.063,,,
03/30,0.086,0.091,0.045,0.105,0.106,0.038,0.068,,,
03/31,0.102,0.107,0.05,0.122,0.122,0.048,0.082,,,
04/01,0.105,0.113,0.048,0.125,0.126,0.049,0.085,0.02,0.02,0.02
04/02,0.112,0.119,0.043,0.132,0.133,0.049,0.09,0.03,0.03,0.03
04/03,0.108,0.117,0.045,0.125,0.125,0.052,0.085,0.03,0.03,0.04
04/04,0.088,0.096,0.037,0.104,0.105,0.044,0.07,0.02,0.03,0.03
04/05,0.105,0.114,0.045,0.122,0.123,0.052,0.083,0.023,0.027,0.03
04/06,0.107,0.117,0.04,0.122,0.123,0.052,0.084,0.02,0.023,0.035
04/07,0.128,0.142,0.06,0.146,0.146,0.067,0.103,0.027,0.037,0.05
04/08,0.118,0.131,0.053,0.132,0.132,0.063,0.092,0.027,0.033,0.045
04/09,0.124,0.138,0.05,0.14,0.14,0.069,0.098,0.033,0.04,0.05
04/10,0.119,0.133,0.046,0.135,0.136,0.068,0.095,0.027,0.033,0.05
04/11,0.128,0.142,0.049,0.143,0.143,0.074,0.102,0.033,0.043,0.055
04/12,0.12,0.135,0.044,0.133,0.134,0.072,0.095,0.027,0.033,0.05
04/13,0.132,0.147,0.055,0.147,0.148,0.082,0.104,0.03,0.037,0.06
04/14,0.129,0.148,0.051,0.144,0.146,0.085,0.102,0.027,0.037,0.045
04/15,0.13,0.149,0.048,0.144,0.145,0.087,0.104,0.027,0.037,0.04
04/16,0.126,0.145,0.049,0.139,0.14,0.086,0.099,0.033,0.053,0.057
04/17,0.139,0.162,0.054,0.154,0.155,0.107,0.112,0.043,0.06,0.07
04/18,0.146,0.172,0.054,0.162,0.163,0.11,0.117,0.043,0.063,0.08
04/19,0.149,0.174,0.056,0.165,0.167,0.116,0.118,0.04,0.063,0.07
04/20,0.135,0.157,0.052,0.148,0.15,0.106,0.108,0.031,0.04,0.044
04/21,0.148,0.172,0.056,0.162,0.164,0.126,0.117,0.036,0.044,0.049
04/22,0.15,0.176,0.059,0.165,0.168,0.13,0.121,0.038,0.048,0.056
04/23,0.142,0.169,0.055,0.157,0.16,0.128,0.115,0.036,0.049,0.057
04/24,0.145,0.171,0.054,0.158,0.162,0.133,0.115,0.039,0.052,0.064
04/25,0.134,0.157,0.051,0.145,0.148,0.128,0.105,0.036,0.048,0.061
04/26,0.148,0.174,0.055,0.161,0.165,0.136,0.119,0.041,0.056,0.068
04/27,0.166,0.195,0.063,0.181,0.185,0.163,0.133,0.044,0.062,0.076
04/28,0.162,0.189,0.065,0.175,0.179,0.155,0.129,0.046,0.065,0.082
04/29,0.153,0.179,0.058,0.165,0.17,0.147,0.122,0.043,0.06,0.076
04/30,0.161,0.189,0.063,0.175,0.18,0.159,0.129,0.045,0.068,0.087
05/01,0.163,0.192,0.065,0.175,0.182,0.167,0.129,0.049,0.071,0.092
05/02,0.164,0.192,0.065,0.174,0.182,0.17,0.131,0.051,0.075,0.1
05/03,0.174,0.206,0.073,0.187,0.197,0.183,0.14,0.056,0.088,0.115
05/04,0.178,0.209,0.079,0.188,0.199,0.193,0.142,0.061,0.095,0.126
05/05,0.161,0.188,0.068,0.17,0.181,0.175,0.127,0.052,0.085,0.113
05/06,0.155,0.184,0.067,0.165,0.176,0.179,0.125,0.055,0.085,0.117
05/07,0.18,0.212,0.079,0.19,0.201,0.204,0.145,0.065,0.103,0.139
05/08,0.186,0.219,0.09,0.195,0.208,0.217,0.148,0.069,0.114,0.155
05/09,0.182,0.212,0.086,0.189,0.202,0.21,0.146,0.066,0.11,0.153
05/10,0.197,0.231,0.099,0.205,0.219,0.233,0.157,0.073,0.117,0.159
05/11,0.179,0.212,0.091,0.188,0.202,0.217,0.143,0.069,0.112,0.15
05/12,0.172,0.201,0.077,0.176,0.191,0.198,0.138,0.062,0.102,0.138
05/13,0.19,0.222,0.091,0.195,0.212,0.223,0.15,0.07,0.116,0.158
05/14,0.182,0.215,0.09,0.188,0.203,0.213,0.146,0.07,0.113,0.153
05/15,0.163,0.192,0.082,0.166,0.182,0.193,0.13,0.062,0.102,0.139
05/16,0.162,0.191,0.093,0.163,0.181,0.192,0.13,0.062,0.105,0.145
05/17,0.164,0.193,0.095,0.165,0.183,0.198,0.133,0.067,0.111,0.154
05/18,0.169,0.198,0.095,0.17,0.187,0.204,0.135,0.068,0.117,0.163
05/19,0.179,0.211,0.101,0.178,0.198,0.217,0.145,0.076,0.129,0.179
05/20,0.163,0.192,0.091,0.162,0.181,0.195,0.131,0.07,0.117,0.165
05/21,0.164,0.192,0.097,0.162,0.18,0.197,0.132,0.071,0.12,0.17
05/22,0.186,0.219,0.108,0.184,0.208,0.228,0.148,0.083,0.141,0.195
05/23,0.19,0.223,0.113,0.187,0.211,0.236,0.152,0.086,0.145,0.202
05/24,0.182,0.214,0.117,0.179,0.201,0.223,0.145,0.079,0.137,0.19
05/25,0.174,0.205,0.102,0.172,0.192,0.213,0.138,0.077,0.128,0.178
05/26,0.188,0.222,0.111,0.184,0.211,0.23,0.151,0.086,0.146,0.202
05/27,0.182,0.215,0.112,0.178,0.202,0.226,0.146,0.083,0.142,0.197
05/28,0.197,0.232,0.127,0.191,0.217,0.253,0.157,0.093,0.159,0.22
05/29,0.195,0.23,0.124,0.189,0.215,0.244,0.155,0.091,0.155,0.215
05/30,0.208,0.245,0.133,0.202,0.228,0.258,0.165,0.098,0.163,0.227
05/31,0.197,0.232,0.13,0.189,0.215,0.243,0.157,0.093,0.158,0.218
06/01,0.195,0.229,0.126,0.187,0.212,0.243,0.156,0.09,0.155,0.211
06/02,0.208,0.244,0.137,0.199,0.227,0.257,0.165,0.098,0.165,0.226
06/03,0.218,0.257,0.147,0.208,0.239,0.273,0.175,0.103,0.177,0.243
06/04,0.216,0.254,0.148,0.206,0.236,0.268,0.172,0.102,0.175,0.238
06/05,0.213,0.249,0.148,0.2,0.232,0.263,0.169,0.102,0.172,0.234
06/06,0.209,0.246,0.153,0.2,0.228,0.259,0.168,0.101,0.167,0.228
06/07,0.222,0.26,0.163,0.209,0.241,0.281,0.178,0.11,0.185,0.251
06/08,0.212,0.249,0.158,0.2,0.23,0.265,0.169,0.103,0.173,0.234
06/09,0.196,0.23,0.148,0.185,0.213,0.242,0.157,0.094,0.158,0.214
06/10,0.21,0.247,0.158,0.198,0.227,0.262,0.167,0.102,0.171,0.229
06/11,0.22,0.258,0.17,0.207,0.238,0.277,0.176,0.107,0.181,0.243
06/12,0.218,0.256,0.173,0.206,0.235,0.278,0.173,0.109,0.182,0.244
06/13,0.22,0.258,0.177,0.207,0.238,0.283,0.175,0.111,0.184,0.247
06/14,0.235,0.278,0.194,0.224,0.256,0.306,0.188,0.122,0.202,0.268
06/15,0.202,0.238,0.17,0.192,0.218,0.263,0.162,0.102,0.174,0.229
06/16,0.198,0.233,0.168,0.187,0.214,0.253,0.16,0.1,0.165,0.22
06/17,0.223,0.261,0.205,0.208,0.241,0.304,0.178,0.122,0.203,0.266
06/18,0.185,0.217,0.163,0.173,0.199,0.238,0.146,0.097,0.158,0.21
06/19,0.219,0.258,0.19,0.206,0.237,0.279,0.176,0.113,0.187,0.245
06/20,0.216,0.254,0.194,0.202,0.233,0.274,0.173,0.113,0.183,0.241
06/21,0.219,0.258,0.206,0.206,0.238,0.28,0.174,0.114,0.188,0.246
06/22,0.242,0.284,0.223,0.226,0.262,0.308,0.192,0.127,0.208,0.273
06/23,0.246,0.289,0.228,0.232,0.265,0.312,0.197,0.131,0.213,0.278
06/24,0.237,0.278,0.226,0.222,0.253,0.306,0.188,0.128,0.208,0.271
06/25,0.246,0.289,0.243,0.23,0.264,0.318,0.195,0.133,0.217,0.283
06/26,0.234,0.275,0.238,0.219,0.251,0.31,0.188,0.132,0.215,0.278
06/27,0.251,0.293,0.258,0.234,0.265,0.327,0.2,0.14,0.227,0.291
06/28,0.262,0.306,0.271,0.245,0.278,0.337,0.206,0.143,0.233,0.302
06/29,0.244,0.286,0.248,0.23,0.26,0.314,0.193,0.133,0.216,0.279
06/30,0.266,0.312,0.276,0.249,0.282,0.341,0.21,0.148,0.238,0.306
07/01,0.273,0.318,0.28,0.254,0.288,0.345,0.215,0.15,0.242,0.308
07/02,0.265,0.312,0.283,0.25,0.283,0.342,0.209,0.147,0.238,0.306
07/03,0.272,0.319,0.286,0.255,0.288,0.344,0.215,0.15,0.241,0.308
07/04,0.273,0.319,0.292,0.255,0.288,0.347,0.214,0.153,0.246,0.312
07/05,0.273,0.323,0.294,0.258,0.29,0.351,0.218,0.153,0.247,0.315
07/06,0.27,0.316,0.289,0.252,0.284,0.342,0.212,0.151,0.243,0.307
07/07,0.276,0.323,0.299,0.259,0.291,0.353,0.215,0.154,0.251,0.317
07/08,0.265,0.311,0.286,0.248,0.28,0.337,0.207,0.147,0.239,0.302
07/09,0.273,0.321,0.298,0.256,0.288,0.347,0.213,0.155,0.248,0.312
07/10,0.252,0.295,0.271,0.235,0.267,0.313,0.187,0.142,0.224,0.284
07/11,0.26,0.305,0.285,0.245,0.275,0.329,0.208,0.147,0.237,0.297
07/12,0.26,0.305,0.283,0.244,0.272,0.329,0.208,0.147,0.237,0.298
07/13,0.262,0.308,0.289,0.246,0.276,0.334,0.209,0.152,0.242,0.302
07/14,0.264,0.309,0.292,0.246,0.277,0.337,0.211,0.153,0.246,0.306
07/15,0.271,0.32,0.304,0.257,0.288,0.347,0.217,0.16,0.253,0.316
07/16,0.261,0.306,0.288,0.245,0.274,0.329,0.208,0.152,0.242,0.299
07/17,0.269,0.315,0.295,0.252,0.282,0.337,0.214,0.157,0.248,0.306
07/18,0.267,0.313,0.299,0.25,0.28,0.343,0.213,0.159,0.253,0.311
07/19,0.262,0.307,0.288,0.245,0.275,0.328,0.21,0.155,0.243,0.298
07/20,0.266,0.313,0.305,0.25,0.279,0.347,0.214,0.163,0.258,0.315
07/21,0.282,0.332,0.318,0.267,0.297,0.361,0.226,0.172,0.27,0.328
07/22,0.277,0.325,0.318,0.259,0.289,0.357,0.218,0.171,0.268,0.326
07/23,0.274,0.322,0.31,0.258,0.288,0.35,0.221,0.167,0.263,0.318
07/24,0.277,0.324,0.317,0.258,0.288,0.357,0.221,0.173,0.268,0.325
07/25,0.266,0.312,0.304,0.248,0.277,0.343,0.213,0.165,0.258,0.312
07/26,0.259,0.304,0.292,0.243,0.269,0.332,0.205,0.161,0.25,0.301
07/27,0.259,0.304,0.293,0.243,0.268,0.33,0.207,0.162,0.252,0.301
07/28,0.263,0.307,0.294,0.245,0.272,0.335,0.208,0.162,0.254,0.303
07/29,0.273,0.321,0.307,0.257,0.284,0.347,0.217,0.172,0.266,0.317
07/30,0.285,0.335,0.326,0.267,0.295,0.37,0.223,0.184,0.287,0.337
07/31,0.267,0.314,0.299,0.25,0.277,0.339,0.211,0.17,0.263,0.31
08/01,0.245,0.288,0.273,0.231,0.254,0.312,0.2,0.158,0.241,0.284
08/02,0.255,0.3,0.285,0.24,0.265,0.326,0.204,0.166,0.253,0.297
08/03,0.248,0.292,0.274,0.234,0.257,0.315,0.198,0.158,0.244,0.286
08/04,0.25,0.295,0.278,0.238,0.258,0.321,0.203,0.163,0.249,0.291
08/05,0.245,0.286,0.266,0.23,0.25,0.31,0.194,0.158,0.243,0.281
08/06,0.254,0.298,0.278,0.238,0.261,0.322,0.206,0.165,0.254,0.293
08/07,0.253,0.295,0.272,0.237,0.259,0.32,0.201,0.164,0.252,0.289
08/08,0.238,0.282,0.261,0.227,0.246,0.308,0.192,0.158,0.243,0.279
08/09,0.219,0.258,0.236,0.207,0.225,0.278,0.176,0.143,0.221,0.253
08/10,0.232,0.272,0.249,0.216,0.238,0.295,0.182,0.154,0.234,0.268
08/11,0.238,0.28,0.258,0.225,0.245,0.306,0.191,0.161,0.244,0.278
08/12,0.228,0.265,0.241,0.212,0.232,0.29,0.182,0.152,0.231,0.263
08/13,0.224,0.262,0.243,0.212,0.228,0.294,0.178,0.158,0.235,0.267
08/14,0.237,0.278,0.257,0.222,0.242,0.311,0.189,0.165,0.25,0.282
08/15,0.232,0.273,0.253,0.22,0.238,0.309,0.184,0.146,0.223,0.252
08/16,0.244,0.286,0.26,0.229,0.248,0.318,0.192,0.165,0.252,0.286
08/17,0.232,0.272,0.243,0.216,0.236,0.3,0.186,0.156,0.237,0.268
08/18,0.238,0.279,0.25,0.222,0.241,0.307,0.188,0.161,0.245,0.277
08/19,0.235,0.277,0.244,0.222,0.238,0.307,0.189,0.162,0.246,0.278
08/20,0.219,0.256,0.223,0.205,0.22,0.278,0.175,0.147,0.223,0.25
08/21,0.222,0.259,0.227,0.207,0.225,0.285,0.176,0.153,0.229,0.257
08/22,0.206,0.242,0.208,0.192,0.209,0.263,0.165,0.139,0.206,0.233
08/23,0.206,0.243,0.212,0.195,0.211,0.266,0.165,0.14,0.212,0.238
08/24,0.208,0.247,0.214,0.197,0.212,0.27,0.168,0.144,0.216,0.245
08/25,0.203,0.24,0.17,0.19,0.206,0.262,0.163,0.141,0.213,0.236
08/26,0.205,0.242,0.206,0.192,0.207,0.262,0.163,0.143,0.215,0.239
08/27,0.212,0.249,0.207,0.198,0.215,0.268,0.168,0.148,0.225,0.247
08/28,0.202,0.237,0.208,0.189,0.204,0.257,0.159,0.144,0.214,0.236
08/29,0.206,0.242,0.198,0.192,0.207,0.26,0.163,0.144,0.217,0.239
08/30,0.19,0.225,0.197,0.179,0.192,0.242,0.149,0.136,0.202,0.222
08/31,0.199,0.235,0.201,0.185,0.201,0.251,0.158,0.139,0.212,0.232
09/01,0.193,0.228,0.147,0.179,0.195,0.243,0.152,0.136,0.205,0.225
09/02,0.181,0.212,0.174,0.167,0.182,0.223,0.142,0.125,0.188,0.205
09/03,0.177,0.208,0.18,0.164,0.177,0.221,0.136,0.126,0.187,0.205
09/04,0.186,0.218,0.179,0.172,0.186,0.229,0.145,0.135,0.196,0.216
09/05,0.177,0.208,0.074,0.163,0.177,0.217,0.135,0.125,0.185,0.204
09/06,0.163,0.191,0.167,0.15,0.162,0.196,0.124,0.115,0.168,0.184
09/07,0.181,0.212,0.197,0.165,0.181,0.22,0.134,0.13,0.191,0.208
09/08,0.176,0.208,0.147,0.161,0.176,0.215,0.133,0.126,0.186,0.201
09/09,0.181,0.212,0.167,0.165,0.181,0.22,0.137,0.128,0.189,0.205
09/10,0.174,0.202,0.1,0.158,0.171,0.209,0.133,0.126,0.185,0.198
09/11,0.172,0.203,0.145,0.157,0.172,0.207,0.133,0.125,0.186,0.198
09/12,0.17,0.198,0.165,0.152,0.168,0.203,0.134,0.125,0.184,0.195
09/13,0.163,0.193,0.15,0.147,0.162,0.195,0.128,0.119,0.176,0.189
09/14,0.152,0.177,0.14,0.134,0.15,0.176,0.118,0.109,0.163,0.173
09/15,0.153,0.181,0.14,0.137,0.152,0.182,0.119,0.114,0.167,0.177
09/16,0.145,0.17,0.095,0.128,0.143,0.172,0.111,0.107,0.157,0.166
09/17,0.131,0.155,0.115,0.116,0.13,0.154,0.101,0.095,0.136,0.147
09/18,0.126,0.149,0.125,0.113,0.125,0.147,0.097,0.09,0.132,0.14
09/19,0.129,0.154,0.125,0.115,0.128,0.152,0.101,0.095,0.14,0.15
09/20,0.138,0.163,0.0,0.121,0.137,0.162,0.102,0.103,0.149,0.158
09/21,0.125,0.148,,0.109,0.122,0.146,0.094,0.093,0.135,0.143
09/22,0.121,0.142,,0.105,0.118,0.139,0.088,0.091,0.131,0.138
09/23,0.124,0.146,,0.108,0.122,0.147,0.093,0.097,0.139,0.149
09/24,0.132,0.155,,0.113,0.13,0.154,0.097,0.104,0.146,0.155
09/25,0.132,0.154,,0.112,0.127,0.153,0.097,0.104,0.146,0.155
09/26,0.128,0.149,,0.109,0.124,0.147,0.091,0.099,0.14,0.148
09/27,0.124,0.145,,0.105,0.121,0.142,0.089,0.095,0.137,0.143
09/28,0.117,0.139,,0.101,0.115,0.135,0.083,0.089,0.13,0.135
09/29,0.11,0.128,,0.092,0.106,0.127,0.074,0.085,0.124,0.126
09/30,0.118,0.138,,0.098,0.115,0.133,0.08,0.088,0.13,0.133
10/01,0.11,0.129,,0.092,0.107,0.102,0.075,0.084,0.124,0.124
10/02,0.118,0.14,,0.1,0.116,0.128,0.08,0.09,0.135,0.135
10/03,0.111,0.131,,0.092,0.109,0.123,0.073,0.084,0.125,0.125
10/04,0.105,0.123,,0.085,0.102,0.118,0.066,0.081,0.121,0.121
10/05,0.102,0.119,,0.082,0.098,0.02,0.064,0.079,0.115,0.115
10/06,0.098,0.115,,0.08,0.095,0.095,0.06,0.075,0.11,0.11
10/07,0.101,0.118,,0.08,0.096,0.105,0.06,0.079,0.115,0.115
10/08,0.093,0.109,,0.077,0.092,0.115,0.056,0.072,0.106,0.106
10/09,0.082,0.095,,0.065,0.078,0.1,0.047,0.063,0.089,0.089
10/10,0.088,0.103,,0.072,0.085,0.085,0.052,0.068,0.098,0.095
10/11,0.092,0.106,,0.073,0.087,0.11,0.051,0.071,0.103,0.103
10/12,0.089,0.105,,0.07,0.086,0.095,0.05,0.071,0.103,0.105
10/13,0.078,0.091,,0.062,0.074,0.08,0.043,0.06,0.086,0.088
10/14,0.08,0.093,,0.062,0.075,0.055,0.042,0.066,0.096,0.101
10/15,0.017,0.019,,0.033,0.038,0.0,0.02,0.0,0.0,0.0
10/16,0.09,0.105,,0.07,0.082,,0.06,,,
10/17,0.09,0.105,,0.077,0.09,,0.06,,,
10/18,0.09,0.1,,0.06,0.073,,0.05,,,
10/19,0.055,0.06,,0.05,0.063,,0.037,,,
10/20,0.07,0.08,,0.06,0.073,,0.043,,,
10/21,0.065,0.075,,0.047,0.058,,0.037,,,
10/22,0.095,0.11,,0.055,0.068,,0.043,,,
10/23,0.075,0.085,,0.045,0.057,,0.037,,,
10/24,0.08,0.09,,0.055,0.068,,0.033,,,
10/25,0.085,0.1,,0.047,0.06,,0.043,,,
10/26,0.065,0.075,,0.04,0.05,,0.037,,,
10/27,0.06,0.07,,0.037,0.045,,0.033,,,
10/28,0.07,0.08,,0.045,0.055,,0.04,,,
10/29,0.065,0.075,,0.033,0.04,,0.03,,,
10/30,,,,0.0,0.0,,0.0,,,
