# Station Code,mdki
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:35
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,SGRN,WGRN
02/26,,,,,,,,0.03
02/27,,,,,,,,0.03
02/28,,,,,,,,0.03
02/29,,,,,,,,0.05
03/01,,,,,,,,0.03
03/02,,,,,,,,0.035
03/03,,,,,,,,0.037
03/04,,,,,,,,0.04
03/05,,,0.097,0.083,0.025,0.037,,0.048
03/06,,,0.103,0.083,0.03,0.04,,0.048
03/07,,,0.1,0.083,0.03,0.037,,0.048
03/08,,,0.067,0.058,0.025,0.027,,0.035
03/09,,,0.08,0.075,0.025,0.037,,0.05
03/10,0.022,0.022,0.107,0.088,0.035,0.033,,0.048
03/11,0.025,0.025,0.127,0.11,0.043,0.05,,0.054
03/12,0.025,0.025,0.107,0.105,0.04,0.047,,0.06
03/13,0.02,0.02,0.087,0.085,0.05,0.05,,0.051
03/14,0.025,0.025,0.11,0.103,0.063,0.05,,0.057
03/15,0.025,0.025,0.093,0.087,0.046,0.042,,0.056
03/16,0.028,0.028,0.091,0.091,0.043,0.041,,0.066
03/17,0.028,0.028,0.093,0.091,0.043,0.044,,0.064
03/18,0.033,0.033,0.103,0.101,0.047,0.049,,0.073
03/19,0.043,0.043,0.1,0.105,0.045,0.047,,0.076
03/20,0.042,0.042,0.123,0.119,0.068,0.059,0.035,0.079
03/21,0.037,0.037,0.107,0.105,0.067,0.051,0.03,0.071
03/22,0.034,0.034,0.089,0.089,0.06,0.044,0.03,0.064
03/23,0.04,0.04,0.097,0.101,0.065,0.05,0.03,0.072
03/24,0.048,0.048,0.1,0.109,0.067,0.054,0.033,0.081
03/25,0.048,0.048,0.091,0.101,0.056,0.05,0.03,0.078
03/26,0.049,0.049,0.092,0.101,0.059,0.048,0.028,0.076
03/27,0.068,0.068,0.112,0.122,0.077,0.063,0.036,0.104
03/28,0.073,0.073,0.136,0.138,0.092,0.071,0.034,0.113
03/29,0.067,0.067,0.126,0.122,0.089,0.063,0.024,0.107
03/30,0.068,0.068,0.115,0.118,0.08,0.062,0.032,0.101
03/31,0.086,0.086,0.138,0.141,0.103,0.077,0.038,0.123
04/01,0.081,0.081,0.13,0.131,0.101,0.071,0.032,0.119
04/02,0.087,0.087,0.128,0.134,0.099,0.074,0.034,0.123
04/03,0.098,0.098,0.141,0.143,0.114,0.081,0.039,0.133
04/04,0.104,0.104,0.156,0.153,0.128,0.088,0.042,0.139
04/05,0.096,0.096,0.131,0.134,0.108,0.078,0.037,0.127
04/06,0.108,0.108,0.15,0.148,0.124,0.089,0.042,0.142
04/07,0.124,0.124,0.16,0.163,0.134,0.101,0.05,0.16
04/08,0.148,0.148,0.173,0.191,0.144,0.114,0.062,0.184
04/09,0.148,0.148,0.181,0.187,0.151,0.118,0.068,0.182
04/10,0.16,0.16,0.194,0.199,0.158,0.126,0.072,0.198
04/11,0.141,0.141,0.167,0.169,0.141,0.11,0.069,0.17
04/12,0.142,0.144,0.172,0.176,0.141,0.113,0.071,0.174
04/13,0.136,0.139,0.164,0.164,0.139,0.108,0.069,0.166
04/14,0.121,0.123,0.144,0.146,0.118,0.093,0.067,0.144
04/15,0.127,0.131,0.147,0.149,0.119,0.098,0.072,0.15
04/16,0.141,0.147,0.163,0.167,0.133,0.111,0.082,0.169
04/17,0.168,0.177,0.192,0.198,0.154,0.132,0.102,0.2
04/18,0.183,0.196,0.206,0.213,0.163,0.146,0.12,0.218
04/19,0.19,0.202,0.217,0.22,0.174,0.151,0.12,0.223
04/20,0.194,0.21,0.217,0.222,0.177,0.154,0.137,0.227
04/21,0.201,0.226,0.224,0.229,0.182,0.158,0.151,0.237
04/22,0.199,0.221,0.222,0.226,0.181,0.156,0.152,0.231
04/23,0.166,0.186,0.188,0.19,0.151,0.13,0.129,0.192
04/24,0.144,0.161,0.158,0.163,0.13,0.112,0.113,0.167
04/25,0.148,0.166,0.162,0.168,0.129,0.116,0.121,0.173
04/26,0.171,0.193,0.189,0.192,0.151,0.132,0.15,0.199
04/27,0.177,0.202,0.197,0.199,0.16,0.139,0.157,0.207
04/28,0.189,0.216,0.21,0.212,0.171,0.149,0.172,0.221
04/29,0.2,0.231,0.222,0.227,0.181,0.159,0.188,0.234
04/30,0.18,0.209,0.198,0.202,0.161,0.142,0.172,0.211
05/01,0.202,0.234,0.229,0.232,0.193,0.16,0.179,0.238
05/02,0.217,0.253,0.243,0.246,0.2,0.173,0.213,0.255
05/03,0.214,0.246,0.237,0.24,0.197,0.167,0.21,0.247
05/04,0.223,0.26,0.248,0.251,0.205,0.176,0.24,0.26
05/05,0.228,0.267,0.253,0.258,0.209,0.182,0.251,0.267
05/06,0.204,0.239,0.227,0.228,0.188,0.163,0.224,0.24
05/07,0.167,0.194,0.183,0.186,0.15,0.132,0.18,0.194
05/08,0.166,0.194,0.182,0.186,0.153,0.131,0.188,0.194
05/09,0.203,0.238,0.227,0.228,0.188,0.161,0.226,0.238
05/10,0.183,0.217,0.206,0.207,0.17,0.147,0.206,0.217
05/11,0.199,0.234,0.221,0.224,0.183,0.159,0.226,0.234
05/12,0.203,0.24,0.228,0.231,0.188,0.162,0.232,0.24
05/13,0.217,0.254,0.239,0.244,0.206,0.174,0.237,0.254
05/14,0.204,0.242,0.228,0.232,0.194,0.167,0.235,0.242
05/15,0.187,0.219,0.208,0.209,0.174,0.149,0.21,0.219
05/16,0.189,0.221,0.208,0.211,0.172,0.152,0.214,0.221
05/17,0.183,0.217,0.203,0.207,0.171,0.148,0.212,0.217
05/18,0.192,0.227,0.21,0.218,0.179,0.154,0.22,0.227
05/19,0.168,0.197,0.182,0.189,0.154,0.134,0.184,0.197
05/20,0.208,0.245,0.227,0.235,0.194,0.167,0.234,0.245
05/21,0.177,0.207,0.19,0.197,0.165,0.141,0.194,0.207
05/22,0.167,0.196,0.178,0.187,0.157,0.134,0.183,0.196
05/23,0.175,0.205,0.187,0.196,0.163,0.139,0.204,0.205
05/24,0.187,0.22,0.201,0.209,0.176,0.149,0.229,0.22
05/25,0.205,0.243,0.221,0.232,0.193,0.166,0.248,0.243
05/26,0.207,0.242,0.218,0.23,0.191,0.165,0.247,0.242
05/27,0.199,0.232,0.208,0.221,0.183,0.158,0.238,0.232
05/28,0.216,0.255,0.226,0.242,0.206,0.172,0.257,0.255
05/29,0.239,0.28,0.247,0.268,0.224,0.189,0.284,0.28
05/30,0.23,0.273,0.239,0.26,0.218,0.185,0.274,0.273
05/31,0.236,0.277,0.24,0.264,0.22,0.187,0.277,0.277
06/01,0.23,0.27,0.236,0.255,0.217,0.184,0.276,0.27
06/02,0.248,0.293,0.253,0.278,0.234,0.199,0.294,0.293
06/03,0.275,0.324,0.279,0.307,0.261,0.219,0.337,0.324
06/04,0.256,0.299,0.256,0.283,0.239,0.203,0.311,0.299
06/05,0.246,0.29,0.246,0.273,0.232,0.198,0.294,0.29
06/06,0.246,0.288,0.242,0.272,0.23,0.194,0.288,0.288
06/07,0.24,0.28,0.233,0.263,0.223,0.191,0.286,0.28
06/08,0.257,0.3,0.25,0.282,0.24,0.203,0.309,0.3
06/09,0.25,0.295,0.246,0.278,0.235,0.2,0.308,0.295
06/10,0.245,0.286,0.238,0.268,0.229,0.195,0.268,0.286
06/11,0.264,0.31,0.256,0.29,0.249,0.21,0.288,0.31
06/12,0.235,0.276,0.224,0.257,0.222,0.188,0.261,0.276
06/13,0.253,0.297,0.241,0.278,0.238,0.201,0.286,0.296
06/14,0.262,0.306,0.246,0.285,0.243,0.209,0.292,0.305
06/15,0.246,0.288,0.231,0.268,0.23,0.197,0.279,0.287
06/16,0.224,0.262,0.211,0.244,0.21,0.176,0.257,0.261
06/17,0.227,0.267,0.214,0.249,0.214,0.182,0.265,0.264
06/18,0.224,0.264,0.212,0.245,0.211,0.179,0.263,0.259
06/19,0.27,0.317,0.253,0.293,0.253,0.217,0.317,0.311
06/20,0.26,0.305,0.245,0.282,0.245,0.208,0.305,0.296
06/21,0.256,0.302,0.241,0.278,0.241,0.204,0.302,0.29
06/22,0.249,0.295,0.238,0.273,0.238,0.2,0.295,0.283
06/23,0.272,0.32,0.256,0.295,0.256,0.218,0.32,0.305
06/24,0.272,0.321,0.258,0.295,0.258,0.216,0.321,0.302
06/25,0.273,0.322,0.258,0.299,0.258,0.218,0.322,0.3
06/26,0.279,0.328,0.262,0.301,0.262,0.224,0.328,0.301
06/27,0.267,0.315,0.254,0.291,0.254,0.214,0.315,0.28
06/28,0.289,0.338,0.271,0.311,0.271,0.229,0.338,0.294
06/29,0.283,0.332,0.265,0.304,0.265,0.226,0.332,0.281
06/30,0.266,0.312,0.249,0.287,0.249,0.213,0.312,0.253
07/01,0.292,0.346,0.277,0.317,0.277,0.236,0.346,0.28
07/02,0.293,0.347,0.279,0.318,0.279,0.236,0.347,0.27
07/03,0.282,0.331,0.264,0.302,0.264,0.224,0.331,0.247
07/04,0.29,0.34,0.272,0.311,0.272,0.23,0.34,0.244
07/05,0.287,0.337,0.27,0.308,0.27,0.228,0.337,0.239
07/06,0.271,0.321,0.256,0.293,0.256,0.219,0.321,0.219
07/07,0.306,0.359,0.288,0.327,0.288,0.246,0.354,0.234
07/08,0.271,0.319,0.254,0.29,0.254,0.214,0.314,0.196
07/09,0.294,0.347,0.278,0.314,0.278,0.238,0.342,0.206
07/10,0.269,0.316,0.252,0.286,0.252,0.214,0.306,0.176
07/11,0.292,0.343,0.276,0.312,0.276,0.231,0.324,0.203
07/12,0.277,0.326,0.261,0.293,0.261,0.222,0.299,0.175
07/13,0.294,0.345,0.276,0.312,0.276,0.236,0.309,0.177
07/14,0.302,0.356,0.285,0.322,0.285,0.241,0.308,0.17
07/15,0.311,0.365,0.292,0.329,0.292,0.249,0.304,0.163
07/16,0.283,0.332,0.266,0.299,0.266,0.226,0.258,0.13
07/17,0.287,0.339,0.271,0.306,0.271,0.229,0.258,0.126
07/18,0.306,0.359,0.287,0.321,0.287,0.244,0.259,0.125
07/19,0.28,0.329,0.261,0.296,0.261,0.223,0.223,0.107
07/20,0.293,0.342,0.274,0.306,0.247,0.231,0.222,0.033
07/21,0.291,0.342,0.275,0.305,0.274,0.234,0.205,0.135
07/22,0.292,0.342,0.274,0.305,0.273,0.231,0.195,0.14
07/23,0.274,0.321,0.258,0.287,0.254,0.217,0.169,0.105
07/24,0.271,0.319,0.254,0.285,0.253,0.216,0.156,0.09
07/25,0.288,0.338,0.271,0.301,0.276,0.23,0.093,0.0
07/26,0.293,0.346,0.276,0.308,0.281,0.236,0.198,
07/27,0.275,0.322,0.258,0.287,0.261,0.218,0.16,
07/28,0.273,0.323,0.258,0.287,0.259,0.219,0.164,
07/29,0.278,0.329,0.265,0.293,0.261,0.222,0.144,
07/30,0.29,0.339,0.271,0.301,0.268,0.231,0.13,
07/31,0.29,0.34,0.271,0.3,0.272,0.229,0.108,
08/01,0.29,0.341,0.272,0.3,0.269,0.232,0.028,
08/02,0.277,0.327,0.261,0.29,0.257,0.223,0.06,
08/03,0.277,0.326,0.261,0.287,0.258,0.221,0.05,
08/04,0.276,0.322,0.257,0.285,0.244,0.217,0.07,
08/05,0.245,0.289,0.232,0.254,0.222,0.196,0.0,
08/06,0.223,0.262,0.209,0.231,0.211,0.178,,
08/07,0.244,0.287,0.229,0.252,0.228,0.196,,
08/08,0.236,0.277,0.221,0.243,0.217,0.188,,
08/09,0.267,0.314,0.25,0.273,0.253,0.213,,
08/10,0.271,0.318,0.254,0.278,0.257,0.216,,
08/11,0.296,0.348,0.278,0.305,0.277,0.236,,
08/12,0.277,0.326,0.26,0.285,0.259,0.221,,
08/13,0.279,0.327,0.261,0.284,0.259,0.22,,
08/14,0.266,0.314,0.252,0.274,0.269,0.213,,
08/15,0.267,0.315,0.252,0.274,0.259,0.213,,
08/16,0.271,0.319,0.254,0.277,0.253,0.215,,
08/17,0.283,0.334,0.267,0.29,0.268,0.225,,
08/18,0.251,0.295,0.236,0.256,0.232,0.201,,
08/19,0.232,0.271,0.216,0.234,0.211,0.184,,
08/20,0.231,0.271,0.217,0.233,0.211,0.183,,
08/21,0.239,0.28,0.224,0.241,0.226,0.191,,
08/22,0.228,0.269,0.216,0.233,0.212,0.182,,
08/23,0.228,0.268,0.213,0.232,0.218,0.181,,
08/24,0.226,0.264,0.212,0.227,0.207,0.18,,
08/25,0.252,0.297,0.238,0.255,0.207,0.202,,
08/26,0.232,0.272,0.218,0.233,0.211,0.183,,
08/27,0.241,0.284,0.226,0.247,0.216,0.192,,
08/28,0.262,0.309,0.245,0.265,0.231,0.208,,
08/29,0.282,0.332,0.264,0.285,0.27,0.224,,
08/30,0.267,0.315,0.248,0.269,0.261,0.211,,
08/31,0.239,0.28,0.22,0.239,0.215,0.187,,
09/01,0.243,0.286,0.224,0.244,0.219,0.191,,
09/02,0.235,0.275,0.215,0.235,0.216,0.182,,
09/03,0.232,0.273,0.212,0.231,0.2,0.18,,
09/04,0.21,0.247,0.189,0.209,0.186,0.161,,
09/05,0.224,0.263,0.202,0.224,0.204,0.173,,
09/06,0.235,0.277,0.212,0.235,0.213,0.181,,
09/07,0.248,0.29,0.222,0.245,0.226,0.19,,
09/08,0.261,0.306,0.231,0.257,0.239,0.199,,
09/09,0.22,0.257,0.195,0.216,0.207,0.167,,
09/10,0.241,0.283,0.213,0.237,0.223,0.184,,
09/11,0.217,0.256,0.191,0.214,0.204,0.166,,
09/12,0.218,0.256,0.19,0.214,0.196,0.163,,
09/13,0.213,0.251,0.187,0.212,0.214,0.16,,
09/14,0.177,0.208,0.153,0.174,0.18,0.132,,
09/15,0.181,0.212,0.156,0.177,0.181,0.133,,
09/16,0.198,0.231,0.169,0.192,0.201,0.146,,
09/17,0.204,0.238,0.172,0.199,0.203,0.148,,
09/18,0.206,0.243,0.174,0.202,0.199,0.153,,
09/19,0.167,0.198,0.141,0.166,0.161,0.121,,
09/20,0.177,0.208,0.148,0.172,0.164,0.127,,
09/21,0.162,0.191,0.136,0.159,0.157,0.117,,
09/22,0.144,0.171,0.121,0.142,0.144,0.104,,
09/23,0.151,0.177,0.123,0.144,0.149,0.107,,
09/24,0.189,0.222,0.156,0.186,0.193,0.134,,
09/25,0.211,0.247,0.156,0.204,0.213,0.146,,
09/26,0.191,0.226,0.158,0.187,0.19,0.132,,
09/27,0.18,0.21,0.133,0.174,0.154,0.12,,
09/28,0.164,0.194,0.124,0.161,0.143,0.109,,
09/29,0.152,0.18,0.119,0.149,0.137,0.098,,
09/30,0.14,0.166,0.115,0.137,0.141,0.088,,
10/01,0.13,0.15,0.105,0.121,0.126,0.078,,
10/02,0.121,0.143,0.095,0.118,0.123,0.073,,
10/03,0.136,0.159,0.109,0.13,0.13,0.079,,
10/04,0.138,0.162,0.106,0.133,0.139,0.076,,
10/05,0.15,0.177,0.117,0.145,0.15,0.084,,
10/06,0.13,0.152,0.1,0.124,0.12,0.069,,
10/07,0.144,0.169,0.11,0.139,0.125,0.075,,
10/08,0.14,0.162,0.109,0.132,0.137,0.07,,
10/09,0.136,0.159,0.104,0.13,0.131,0.066,,
10/10,0.0,0.0,0.0,0.0,0.0,0.0,,
