# Station Code,owei
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:37
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,HAYM,HAYP,LAWN,PAST,POTA,POTS,SGRN,WGRN
03/16,,,,,,,,,,0.03
03/17,,,,,,,,,,0.03
03/18,,,,,,,,,,0.03
03/19,,,,,,,,,,0.05
03/20,,,,,0.02,0.03,,,,0.035
03/21,,,,,0.01,0.02,,,,0.037
03/22,,,,,0.02,0.03,,,,0.033
03/23,,,,,0.03,0.04,,,,0.04
03/24,,,,,0.03,0.05,,,,0.047
03/25,0.02,0.02,,,0.027,0.04,,,,0.053
03/26,0.02,0.02,,,0.033,0.043,,,,0.063
03/27,0.02,0.02,,,0.033,0.04,,,,0.06
03/28,0.02,0.02,,,0.043,0.05,,,,0.07
03/29,0.02,0.02,,,0.04,0.043,,,,0.07
03/30,0.03,0.03,,,0.047,0.05,,,,0.07
03/31,0.04,0.04,,,0.067,0.057,,,,0.08
04/01,0.023,0.023,0.13,0.13,0.057,0.053,,,,0.068
04/02,0.023,0.023,0.15,0.15,0.053,0.043,,,,0.058
04/03,0.027,0.027,0.13,0.13,0.07,0.05,,,,0.068
04/04,0.037,0.037,0.13,0.13,0.083,0.057,,,,0.077
04/05,0.04,0.04,0.1,0.1,0.058,0.053,,,0.03,0.075
04/06,0.037,0.037,0.112,0.112,0.06,0.055,,,0.02,0.08
04/07,0.057,0.057,0.122,0.122,0.08,0.067,,,0.04,0.097
04/08,0.073,0.073,0.138,0.138,0.093,0.077,,,0.05,0.112
04/09,0.083,0.083,0.155,0.155,0.1,0.083,,,0.05,0.123
04/10,0.053,0.053,0.14,0.14,0.095,0.078,,,0.05,0.115
04/11,0.057,0.057,0.132,0.132,0.097,0.075,,,0.06,0.113
04/12,0.04,0.04,0.108,0.108,0.075,0.055,,,0.03,0.085
04/13,0.052,0.052,0.14,0.14,0.098,0.073,,,0.03,0.108
04/14,0.055,0.055,0.12,0.12,0.097,0.067,,,0.03,0.102
04/15,0.06,0.06,0.135,0.135,0.107,0.073,,,0.037,0.113
04/16,0.067,0.067,0.142,0.142,0.115,0.078,,,0.037,0.12
04/17,0.083,0.083,0.163,0.163,0.138,0.095,,,0.043,0.143
04/18,0.093,0.093,0.165,0.165,0.143,0.1,,,0.057,0.15
04/19,0.117,0.117,0.202,0.202,0.175,0.123,,,0.063,0.182
04/20,0.12,0.12,0.198,0.198,0.173,0.122,,,0.06,0.18
04/21,0.113,0.113,0.182,0.182,0.158,0.113,,,0.053,0.167
04/22,0.135,0.135,0.212,0.212,0.185,0.132,,,0.067,0.193
04/23,0.125,0.125,0.182,0.182,0.163,0.117,,,0.07,0.173
04/24,0.133,0.133,0.188,0.188,0.167,0.122,,,0.073,0.18
04/25,0.152,0.152,0.212,0.212,0.187,0.137,,,0.062,0.2
04/26,0.15,0.152,0.197,0.197,0.175,0.132,,,0.063,0.193
04/27,0.165,0.167,0.222,0.222,0.198,0.145,,,0.068,0.213
04/28,0.168,0.168,0.22,0.22,0.197,0.142,,,0.072,0.213
04/29,0.173,0.175,0.228,0.228,0.202,0.152,,,0.077,0.223
04/30,0.142,0.143,0.178,0.178,0.16,0.118,,,0.065,0.177
05/01,0.171,0.173,0.229,0.229,0.204,0.149,,,0.078,0.221
05/02,0.18,0.183,0.233,0.233,0.206,0.154,,,0.087,0.229
05/03,0.176,0.18,0.226,0.226,0.2,0.154,,,0.087,0.221
05/04,0.173,0.179,0.211,0.211,0.187,0.146,,,0.1,0.213
05/05,0.197,0.203,0.24,0.24,0.21,0.164,,0.07,0.101,0.241
05/06,0.21,0.221,0.251,0.251,0.221,0.174,,0.08,0.12,0.256
05/07,0.187,0.194,0.226,0.226,0.197,0.154,,0.09,0.103,0.229
05/08,0.194,0.204,0.23,0.23,0.2,0.161,,0.06,0.113,0.237
05/09,0.176,0.186,0.207,0.207,0.18,0.144,,0.06,0.101,0.213
05/10,0.19,0.2,0.22,0.22,0.19,0.154,0.065,0.075,0.114,0.227
05/11,0.189,0.204,0.219,0.219,0.189,0.153,0.085,0.075,0.127,0.224
05/12,0.22,0.232,0.25,0.253,0.215,0.177,0.085,0.082,0.14,0.26
05/13,0.204,0.223,0.234,0.237,0.203,0.166,0.075,0.085,0.143,0.241
05/14,0.204,0.224,0.233,0.236,0.197,0.163,0.075,0.09,0.153,0.239
05/15,0.201,0.223,0.23,0.233,0.197,0.164,0.08,0.09,0.157,0.237
05/16,0.213,0.236,0.241,0.243,0.206,0.171,0.085,0.099,0.17,0.251
05/17,0.207,0.229,0.231,0.234,0.199,0.166,0.11,0.101,0.171,0.243
05/18,0.209,0.231,0.233,0.234,0.2,0.166,0.09,0.107,0.173,0.243
05/19,0.207,0.234,0.234,0.236,0.196,0.166,0.105,0.113,0.179,0.244
05/20,0.176,0.199,0.2,0.201,0.171,0.144,0.056,0.096,0.149,0.209
05/21,0.17,0.193,0.191,0.193,0.163,0.139,0.052,0.097,0.15,0.201
05/22,0.176,0.201,0.197,0.2,0.167,0.141,0.05,0.1,0.154,0.207
05/23,0.169,0.196,0.187,0.19,0.159,0.134,0.056,0.106,0.166,0.197
05/24,0.184,0.216,0.206,0.207,0.174,0.149,0.064,0.127,0.186,0.217
05/25,0.201,0.233,0.226,0.227,0.187,0.161,0.076,0.153,0.204,0.234
05/26,0.187,0.22,0.211,0.213,0.177,0.151,0.084,0.153,0.196,0.221
05/27,0.227,0.267,0.256,0.257,0.214,0.183,0.102,0.191,0.244,0.269
05/28,0.23,0.271,0.259,0.261,0.219,0.186,0.1,0.199,0.247,0.271
05/29,0.22,0.257,0.246,0.247,0.209,0.173,0.092,0.189,0.237,0.257
05/30,0.206,0.241,0.23,0.233,0.193,0.164,0.084,0.18,0.226,0.241
05/31,0.219,0.259,0.244,0.25,0.207,0.176,0.09,0.203,0.243,0.259
06/01,0.247,0.29,0.274,0.28,0.234,0.197,0.108,0.234,0.276,0.29
06/02,0.224,0.266,0.251,0.254,0.21,0.18,0.103,0.221,0.257,0.266
06/03,0.234,0.276,0.26,0.266,0.219,0.187,0.112,0.236,0.269,0.276
06/04,0.267,0.316,0.299,0.304,0.253,0.214,0.122,0.27,0.306,0.316
06/05,0.269,0.316,0.297,0.304,0.254,0.214,0.12,0.274,0.307,0.316
06/06,0.267,0.311,0.294,0.299,0.249,0.211,0.123,0.273,0.303,0.311
06/07,0.25,0.292,0.277,0.28,0.233,0.198,0.112,0.26,0.283,0.292
06/08,0.233,0.274,0.259,0.263,0.22,0.187,0.11,0.247,0.269,0.274
06/09,0.25,0.296,0.277,0.284,0.237,0.201,0.129,0.269,0.293,0.296
06/10,0.249,0.293,0.271,0.283,0.236,0.199,0.133,0.264,0.291,0.293
06/11,0.251,0.296,0.273,0.284,0.236,0.199,0.137,0.27,0.294,0.296
06/12,0.223,0.26,0.241,0.25,0.207,0.179,0.127,0.237,0.259,0.26
06/13,0.244,0.29,0.267,0.276,0.233,0.197,0.149,0.264,0.289,0.29
06/14,0.274,0.321,0.293,0.31,0.256,0.219,0.164,0.294,0.32,0.321
06/15,0.27,0.32,0.29,0.306,0.256,0.217,0.173,0.291,0.32,0.32
06/16,0.261,0.309,0.281,0.296,0.249,0.21,0.171,0.284,0.309,0.309
06/17,0.256,0.301,0.27,0.289,0.241,0.204,0.173,0.277,0.301,0.301
06/18,0.247,0.29,0.259,0.277,0.233,0.197,0.171,0.267,0.29,0.29
06/19,0.277,0.326,0.287,0.31,0.261,0.221,0.199,0.3,0.326,0.326
06/20,0.251,0.297,0.263,0.284,0.239,0.201,0.186,0.273,0.297,0.297
06/21,0.273,0.32,0.279,0.304,0.257,0.219,0.207,0.297,0.32,0.32
06/22,0.294,0.349,0.301,0.33,0.28,0.237,0.24,0.321,0.349,0.349
06/23,0.28,0.329,0.284,0.311,0.263,0.224,0.23,0.304,0.329,0.329
06/24,0.276,0.324,0.277,0.309,0.259,0.22,0.233,0.299,0.324,0.324
06/25,0.269,0.316,0.27,0.299,0.253,0.214,0.227,0.29,0.316,0.316
06/26,0.313,0.37,0.314,0.35,0.296,0.251,0.273,0.34,0.37,0.37
06/27,0.311,0.364,0.306,0.344,0.291,0.249,0.273,0.334,0.364,0.364
06/28,0.284,0.334,0.28,0.316,0.269,0.229,0.253,0.309,0.334,0.334
06/29,0.267,0.314,0.259,0.294,0.253,0.216,0.243,0.291,0.314,0.314
06/30,0.279,0.33,0.274,0.309,0.266,0.226,0.261,0.304,0.33,0.33
07/01,0.287,0.339,0.28,0.316,0.271,0.23,0.274,0.311,0.339,0.339
07/02,0.3,0.353,0.29,0.33,0.283,0.24,0.287,0.326,0.353,0.351
07/03,0.325,0.385,0.315,0.36,0.308,0.263,0.315,0.353,0.385,0.383
07/04,0.3,0.353,0.287,0.33,0.282,0.238,0.295,0.327,0.353,0.35
07/05,0.319,0.376,0.304,0.35,0.3,0.256,0.319,0.344,0.376,0.371
07/06,0.304,0.36,0.289,0.333,0.289,0.246,0.309,0.331,0.36,0.354
07/07,0.33,0.389,0.31,0.361,0.309,0.264,0.334,0.356,0.389,0.376
07/08,0.32,0.376,0.301,0.35,0.301,0.256,0.329,0.347,0.376,0.357
07/09,0.313,0.369,0.294,0.341,0.294,0.251,0.323,0.339,0.369,0.344
07/10,0.33,0.389,0.311,0.36,0.311,0.267,0.344,0.357,0.389,0.357
07/11,0.347,0.409,0.327,0.379,0.327,0.279,0.361,0.374,0.409,0.371
07/12,0.347,0.407,0.324,0.376,0.324,0.277,0.366,0.373,0.407,0.361
07/13,0.327,0.386,0.31,0.354,0.31,0.261,0.347,0.351,0.386,0.329
07/14,0.32,0.374,0.3,0.347,0.3,0.254,0.34,0.343,0.374,0.313
07/15,0.316,0.371,0.297,0.341,0.297,0.253,0.337,0.339,0.37,0.299
07/16,0.335,0.393,0.312,0.363,0.312,0.268,0.362,0.355,0.39,0.293
07/17,0.343,0.405,0.323,0.373,0.323,0.275,0.375,0.365,0.398,0.282
07/18,0.363,0.427,0.342,0.393,0.342,0.288,0.395,0.382,0.41,0.285
07/19,0.338,0.396,0.316,0.366,0.316,0.27,0.366,0.352,0.376,0.264
07/20,0.346,0.406,0.323,0.373,0.323,0.277,0.376,0.36,0.374,0.244
07/21,0.341,0.401,0.32,0.367,0.32,0.273,0.371,0.354,0.363,0.275
07/22,0.34,0.399,0.319,0.363,0.319,0.273,0.369,0.35,0.354,0.27
07/23,0.333,0.391,0.314,0.359,0.314,0.267,0.364,0.341,0.327,0.247
07/24,0.326,0.381,0.303,0.349,0.303,0.257,0.353,0.331,0.31,0.225
07/25,0.273,0.323,0.259,0.296,0.259,0.219,0.299,0.28,0.243,0.175
07/26,0.274,0.323,0.259,0.291,0.259,0.219,0.301,0.277,0.278,0.202
07/27,0.286,0.336,0.267,0.306,0.267,0.227,0.313,0.284,0.283,0.202
07/28,0.273,0.319,0.256,0.287,0.256,0.217,0.296,0.27,0.252,0.182
07/29,0.294,0.347,0.277,0.313,0.277,0.236,0.321,0.29,0.245,0.172
07/30,0.313,0.367,0.293,0.333,0.293,0.249,0.343,0.304,0.248,0.174
07/31,0.281,0.331,0.264,0.299,0.264,0.224,0.306,0.271,0.202,0.134
08/01,0.293,0.346,0.276,0.311,0.276,0.236,0.32,0.283,0.18,0.092
08/02,0.266,0.311,0.25,0.279,0.25,0.211,0.289,0.25,0.154,0.1
08/03,0.27,0.317,0.254,0.287,0.254,0.217,0.293,0.253,0.15,0.097
08/04,0.289,0.337,0.27,0.303,0.27,0.229,0.311,0.266,0.148,0.093
08/05,0.269,0.316,0.251,0.283,0.251,0.214,0.293,0.249,0.104,0.04
08/06,0.237,0.277,0.221,0.25,0.221,0.187,0.257,0.213,0.133,0.12
08/07,0.266,0.311,0.251,0.28,0.251,0.211,0.287,0.237,0.133,0.08
08/08,0.249,0.293,0.236,0.261,0.236,0.199,0.27,0.22,0.133,0.09
08/09,0.263,0.31,0.247,0.277,0.247,0.21,0.286,0.23,0.12,0.08
08/10,0.29,0.343,0.276,0.309,0.276,0.233,0.314,0.247,0.053,0.0
08/11,0.317,0.376,0.303,0.336,0.303,0.256,0.343,0.269,0.17,
08/12,0.314,0.369,0.296,0.33,0.296,0.249,0.336,0.257,0.15,
08/13,0.297,0.35,0.28,0.314,0.28,0.239,0.319,0.24,0.14,
08/14,0.274,0.321,0.257,0.286,0.257,0.217,0.291,0.219,0.1,
08/15,0.29,0.34,0.271,0.303,0.271,0.231,0.307,0.224,0.0,
08/16,0.266,0.314,0.253,0.277,0.253,0.213,0.283,0.203,,
08/17,0.311,0.366,0.293,0.323,0.293,0.249,0.327,0.231,,
08/18,0.277,0.326,0.26,0.287,0.26,0.221,0.289,0.203,,
08/19,0.263,0.307,0.244,0.273,0.244,0.207,0.269,0.187,,
08/20,0.233,0.273,0.217,0.24,0.217,0.184,0.237,0.161,,
08/21,0.233,0.274,0.22,0.24,0.22,0.186,0.239,0.159,,
08/22,0.261,0.307,0.247,0.27,0.247,0.206,0.263,0.173,,
08/23,0.253,0.297,0.237,0.26,0.237,0.201,0.254,0.163,,
08/24,0.266,0.311,0.249,0.273,0.249,0.21,0.266,0.166,,
08/25,0.269,0.313,0.249,0.271,0.249,0.211,0.266,0.16,,
08/26,0.254,0.297,0.236,0.259,0.236,0.2,0.247,0.141,,
08/27,0.247,0.289,0.23,0.251,0.23,0.194,0.239,0.129,,
08/28,0.25,0.294,0.234,0.256,0.234,0.197,0.241,0.123,,
08/29,0.261,0.309,0.249,0.269,0.249,0.206,0.254,0.121,,
08/30,0.264,0.31,0.247,0.27,0.247,0.204,0.254,0.104,,
08/31,0.239,0.28,0.224,0.243,0.224,0.184,0.23,0.089,,
09/01,0.267,0.314,0.253,0.271,0.253,0.209,0.254,0.051,,
09/02,0.263,0.31,0.25,0.269,0.25,0.203,0.25,0.107,,
09/03,0.254,0.299,0.237,0.259,0.237,0.194,0.237,0.083,,
09/04,0.251,0.294,0.234,0.253,0.234,0.191,0.231,0.06,,
09/05,0.257,0.303,0.241,0.261,0.241,0.196,0.237,0.0,,
09/06,0.266,0.314,0.254,0.271,0.254,0.204,0.243,,,
09/07,0.261,0.306,0.246,0.263,0.246,0.196,0.237,,,
09/08,0.267,0.313,0.25,0.269,0.25,0.2,0.237,,,
09/09,0.24,0.283,0.227,0.246,0.227,0.18,0.214,,,
09/10,0.214,0.253,0.201,0.22,0.201,0.16,0.19,,,
09/11,0.22,0.257,0.204,0.221,0.204,0.16,0.19,,,
09/12,0.214,0.251,0.199,0.214,0.203,0.157,0.181,,,
09/13,0.196,0.229,0.183,0.196,0.183,0.141,0.166,,,
09/14,0.201,0.236,0.184,0.201,0.19,0.143,0.164,,,
09/15,0.193,0.229,0.18,0.194,0.183,0.14,0.156,,,
09/16,0.196,0.229,0.179,0.196,0.181,0.139,0.154,,,
09/17,0.211,0.247,0.191,0.211,0.199,0.149,0.163,,,
09/18,0.216,0.253,0.197,0.214,0.203,0.147,0.163,,,
09/19,0.184,0.214,0.167,0.184,0.171,0.121,0.133,,,
09/20,0.17,0.2,0.153,0.17,0.161,0.111,0.09,,,
09/21,0.127,0.15,0.116,0.126,0.121,0.081,0.074,,,
09/22,0.149,0.176,0.134,0.149,0.139,0.09,0.098,,,
09/23,0.176,0.204,0.157,0.17,0.164,0.104,0.104,,,
09/24,0.197,0.231,0.174,0.194,0.186,0.111,0.124,,,
09/25,0.176,0.206,0.154,0.173,0.164,0.1,0.04,,,
09/26,0.201,0.237,0.177,0.197,0.189,0.111,0.105,,,
09/27,0.21,0.249,0.184,0.209,0.2,0.111,0.135,,,
09/28,0.179,0.21,0.156,0.176,0.167,0.091,0.11,,,
09/29,0.153,0.177,0.13,0.147,0.14,0.076,0.08,,,
09/30,0.0,0.0,0.123,0.14,0.0,0.0,0.0,,,
10/01,,,0.101,0.117,,,,,,
10/02,,,0.104,0.124,,,,,,
10/03,,,0.111,0.13,,,,,,
10/04,,,0.127,0.147,,,,,,
10/05,,,0.114,0.136,,,,,,
10/06,,,0.107,0.127,,,,,,
10/07,,,0.117,0.14,,,,,,
10/08,,,0.108,0.13,,,,,,
10/09,,,0.105,0.123,,,,,,
10/10,,,0.087,0.105,,,,,,
10/11,,,0.107,0.127,,,,,,
10/12,,,0.116,0.139,,,,,,
10/13,,,0.091,0.11,,,,,,
10/14,,,0.104,0.127,,,,,,
10/15,,,0.089,0.107,,,,,,
10/16,,,0.094,0.117,,,,,,
10/17,,,0.119,0.146,,,,,,
10/18,,,0.106,0.131,,,,,,
10/19,,,0.097,0.12,,,,,,
10/20,,,0.0,0.0,,,,,,
