# Station Code,teri
# Type,Multi-year daily averages
# Generated,2025-07-14 12:59:40
# Note,Averages calculated from all available years

DATE,ALFM,ALFP,FCRN,HAYM,HAYP,LAWN,PAST,POTA,RAPE,SGRN,WGRN
03/01,0.02,0.02,,,,,,,,,
03/02,0.01,0.01,,,,,,,,,
03/03,0.01,0.01,,,,,,,,,
03/04,0.01,0.01,,,,,,,,,
03/05,0.01,0.01,,,,,0.02,,,,
03/06,0.02,0.02,,,,,0.03,,,,
03/07,0.02,0.02,,,,,0.02,,,,
03/08,0.03,0.03,,,,,0.04,,,,
03/09,0.03,0.03,,,,,0.04,,,,
03/10,0.03,0.03,,,,,0.04,,,,
03/11,0.04,0.04,,,,,0.04,,,,
03/12,0.04,0.04,,,,,0.04,,,,
03/13,0.04,0.04,,,,,0.04,,,,
03/14,0.07,0.07,,,,,0.07,,,,
03/15,0.11,0.11,,,,,0.1,,,,0.07
03/16,0.06,0.06,,,,0.01,0.035,,,,0.03
03/17,0.08,0.08,,,,0.01,0.045,,,,0.035
03/18,0.06,0.06,,,,0.02,0.04,,,,0.03
03/19,0.07,0.07,,,,0.02,0.045,,,,0.04
03/20,0.055,0.055,,,,0.027,0.047,,0.04,,0.04
03/21,0.065,0.065,,,,0.027,0.047,,0.05,,0.038
03/22,0.05,0.05,,,,0.023,0.04,,0.04,,0.036
03/23,0.07,0.07,,,,0.037,0.05,,0.04,,0.046
03/24,0.05,0.05,,,,0.04,0.053,,0.02,,0.05
03/25,0.04,0.04,,,,0.028,0.04,,0.03,,0.05
03/26,0.05,0.05,,,,0.042,0.048,,0.03,,0.062
03/27,0.052,0.052,,,,0.045,0.05,,0.04,,0.062
03/28,0.068,0.068,,,,0.06,0.065,,0.06,,0.077
03/29,0.06,0.06,,,,0.057,0.053,,0.04,,0.068
03/30,0.062,0.062,,,,0.063,0.057,,0.06,,0.073
03/31,0.085,0.085,,,,0.08,0.065,,0.09,,0.085
04/01,0.045,0.045,,0.095,0.095,0.062,0.05,,0.05,,0.061
04/02,0.047,0.047,,0.115,0.115,0.072,0.055,,0.04,,0.062
04/03,0.055,0.055,,0.115,0.115,0.08,0.058,,0.06,,0.069
04/04,0.065,0.065,,0.125,0.125,0.092,0.067,,0.07,,0.082
04/05,0.072,0.072,,0.096,0.096,0.076,0.062,,0.09,0.03,0.08
04/06,0.073,0.073,,0.101,0.101,0.078,0.061,,0.09,0.02,0.082
04/07,0.08,0.08,,0.109,0.109,0.088,0.069,,0.06,0.04,0.093
04/08,0.103,0.103,,0.132,0.132,0.108,0.082,,0.08,0.04,0.116
04/09,0.105,0.105,,0.124,0.124,0.107,0.083,,0.07,0.04,0.113
04/10,0.073,0.073,,0.128,0.128,0.1,0.081,,0.11,0.05,0.112
04/11,0.087,0.088,,0.13,0.13,0.11,0.088,,0.19,0.04,0.118
04/12,0.074,0.074,,0.118,0.118,0.101,0.079,,0.14,0.03,0.104
04/13,0.089,0.09,,0.136,0.136,0.118,0.089,,0.19,0.02,0.121
04/14,0.082,0.082,,0.122,0.122,0.111,0.083,,0.19,0.03,0.112
04/15,0.064,0.066,,0.109,0.109,0.096,0.069,,0.12,0.027,0.098
04/16,0.097,0.097,,0.146,0.146,0.13,0.094,,0.18,0.033,0.134
04/17,0.11,0.111,,0.163,0.163,0.148,0.107,,0.18,0.04,0.15
04/18,0.12,0.122,,0.166,0.166,0.151,0.111,,0.21,0.047,0.156
04/19,0.123,0.124,,0.172,0.172,0.157,0.116,,0.19,0.05,0.161
04/20,0.132,0.134,,0.179,0.179,0.163,0.12,,0.19,0.05,0.171
04/21,0.124,0.127,,0.164,0.164,0.148,0.11,,0.18,0.043,0.157
04/22,0.149,0.152,,0.189,0.189,0.174,0.131,,0.24,0.053,0.183
04/23,0.123,0.128,,0.152,0.152,0.139,0.104,,0.26,0.05,0.151
04/24,0.116,0.12,,0.149,0.149,0.134,0.101,,0.18,0.05,0.148
04/25,0.114,0.118,,0.149,0.149,0.134,0.099,,0.075,0.045,0.144
04/26,0.13,0.133,,0.161,0.161,0.146,0.112,,0.07,0.054,0.161
04/27,0.14,0.148,,0.171,0.171,0.157,0.118,,0.1,0.054,0.173
04/28,0.143,0.15,,0.172,0.172,0.153,0.12,,0.12,0.056,0.172
04/29,0.159,0.168,,0.191,0.191,0.17,0.131,,0.16,0.062,0.192
04/30,0.15,0.158,,0.174,0.174,0.157,0.124,,0.125,0.055,0.18
05/01,0.166,0.178,,0.202,0.202,0.182,0.142,,0.088,0.065,0.204
05/02,0.168,0.178,,0.2,0.2,0.179,0.14,,0.09,0.069,0.202
05/03,0.176,0.188,,0.209,0.209,0.186,0.147,,0.074,0.072,0.214
05/04,0.179,0.192,,0.209,0.209,0.183,0.148,,0.078,0.08,0.213
05/05,0.166,0.178,,0.196,0.196,0.172,0.139,0.05,0.07,0.079,0.201
05/06,0.168,0.18,,0.197,0.198,0.173,0.14,0.04,0.078,0.091,0.203
05/07,0.153,0.165,,0.179,0.18,0.156,0.127,0.04,0.076,0.077,0.185
05/08,0.153,0.167,,0.18,0.18,0.154,0.128,,0.048,0.087,0.188
05/09,0.168,0.185,,0.193,0.194,0.169,0.138,0.08,0.098,0.092,0.202
05/10,0.157,0.171,,0.177,0.177,0.153,0.126,0.065,0.083,0.097,0.186
05/11,0.168,0.187,,0.194,0.194,0.165,0.138,0.068,0.08,0.109,0.202
05/12,0.191,0.213,,0.22,0.221,0.189,0.154,0.073,0.085,0.124,0.23
05/13,0.203,0.228,,0.23,0.235,0.198,0.165,0.083,0.103,0.144,0.24
05/14,0.194,0.215,,0.219,0.22,0.185,0.156,0.072,0.095,0.14,0.226
05/15,0.168,0.188,,0.19,0.191,0.161,0.135,0.05,0.07,0.114,0.198
05/16,0.173,0.192,,0.193,0.195,0.164,0.137,0.055,0.08,0.126,0.202
05/17,0.174,0.195,,0.193,0.197,0.165,0.137,0.068,0.088,0.129,0.204
05/18,0.196,0.22,,0.217,0.219,0.186,0.155,0.075,0.103,0.146,0.229
05/19,0.176,0.199,,0.195,0.198,0.167,0.139,0.073,0.1,0.142,0.207
05/20,0.146,0.163,0.06,0.162,0.163,0.138,0.116,0.049,0.081,0.114,0.17
05/21,0.159,0.181,0.07,0.178,0.18,0.151,0.128,0.053,0.094,0.13,0.186
05/22,0.157,0.18,0.03,0.175,0.176,0.147,0.124,0.05,0.084,0.126,0.183
05/23,0.162,0.187,0.05,0.182,0.182,0.151,0.129,0.051,0.091,0.139,0.189
05/24,0.178,0.209,0.06,0.199,0.2,0.167,0.142,0.061,0.117,0.164,0.21
05/25,0.181,0.211,0.065,0.202,0.203,0.171,0.144,0.073,0.137,0.17,0.212
05/26,0.177,0.207,0.07,0.198,0.199,0.166,0.141,0.074,0.136,0.165,0.208
05/27,0.186,0.217,0.075,0.206,0.209,0.174,0.149,0.077,0.15,0.178,0.218
05/28,0.21,0.246,0.07,0.234,0.235,0.198,0.167,0.089,0.172,0.208,0.246
05/29,0.204,0.238,0.055,0.227,0.228,0.191,0.162,0.087,0.17,0.204,0.238
05/30,0.185,0.218,0.045,0.208,0.21,0.174,0.148,0.079,0.163,0.191,0.218
05/31,0.198,0.233,0.05,0.222,0.224,0.186,0.158,0.09,0.183,0.21,0.233
06/01,0.208,0.245,0.083,0.233,0.235,0.196,0.167,0.096,0.201,0.225,0.245
06/02,0.212,0.25,0.085,0.238,0.24,0.2,0.17,0.102,0.21,0.232,0.25
06/03,0.212,0.248,0.088,0.235,0.238,0.199,0.17,0.101,0.218,0.232,0.248
06/04,0.235,0.275,0.092,0.261,0.265,0.22,0.188,0.113,0.242,0.26,0.275
06/05,0.244,0.285,0.09,0.269,0.274,0.228,0.193,0.115,0.253,0.27,0.285
06/06,0.229,0.27,0.088,0.257,0.259,0.216,0.184,0.112,0.247,0.257,0.27
06/07,0.219,0.258,0.073,0.241,0.248,0.206,0.176,0.107,0.238,0.246,0.258
06/08,0.216,0.255,0.066,0.239,0.245,0.205,0.174,0.111,0.238,0.246,0.255
06/09,0.245,0.286,0.084,0.269,0.274,0.229,0.195,0.131,0.27,0.278,0.286
06/10,0.243,0.287,0.084,0.267,0.276,0.229,0.195,0.137,0.266,0.281,0.287
06/11,0.217,0.257,0.086,0.238,0.247,0.207,0.175,0.126,0.249,0.253,0.257
06/12,0.215,0.253,0.078,0.235,0.244,0.202,0.172,0.126,0.24,0.249,0.253
06/13,0.259,0.304,0.09,0.28,0.289,0.243,0.208,0.16,0.288,0.3,0.304
06/14,0.263,0.309,0.102,0.282,0.297,0.247,0.21,0.164,0.311,0.306,0.309
06/15,0.239,0.279,0.11,0.252,0.267,0.223,0.189,0.154,0.28,0.278,0.279
06/16,0.245,0.288,0.108,0.258,0.276,0.23,0.197,0.164,0.296,0.287,0.288
06/17,0.23,0.272,0.104,0.243,0.26,0.218,0.185,0.161,0.276,0.271,0.272
06/18,0.235,0.274,0.102,0.242,0.26,0.22,0.186,0.173,0.282,0.273,0.274
06/19,0.271,0.318,0.122,0.281,0.304,0.253,0.217,0.2,0.316,0.317,0.318
06/20,0.243,0.286,0.098,0.254,0.271,0.229,0.193,0.181,0.272,0.285,0.286
06/21,0.251,0.294,0.1,0.258,0.28,0.235,0.199,0.195,0.288,0.293,0.294
06/22,0.242,0.284,0.106,0.248,0.269,0.226,0.193,0.199,0.279,0.284,0.284
06/23,0.252,0.295,0.122,0.254,0.28,0.235,0.201,0.21,0.287,0.295,0.295
06/24,0.275,0.322,0.146,0.277,0.306,0.257,0.218,0.233,0.316,0.322,0.322
06/25,0.243,0.284,0.128,0.243,0.269,0.228,0.191,0.208,0.277,0.284,0.284
06/26,0.272,0.319,0.134,0.269,0.3,0.254,0.216,0.237,0.304,0.319,0.319
06/27,0.239,0.283,0.15,0.239,0.266,0.226,0.191,0.216,0.297,0.283,0.283
06/28,0.251,0.296,0.156,0.249,0.278,0.237,0.201,0.226,0.286,0.296,0.296
06/29,0.246,0.289,0.16,0.239,0.271,0.231,0.198,0.224,0.266,0.289,0.289
06/30,0.224,0.265,0.144,0.221,0.248,0.214,0.18,0.209,0.253,0.265,0.265
07/01,0.267,0.313,0.18,0.258,0.292,0.25,0.212,0.252,0.299,0.313,0.313
07/02,0.277,0.327,0.176,0.269,0.305,0.261,0.221,0.266,0.306,0.327,0.326
07/03,0.283,0.332,0.196,0.271,0.311,0.265,0.226,0.272,0.316,0.332,0.329
07/04,0.264,0.312,0.172,0.253,0.292,0.25,0.211,0.261,0.279,0.312,0.308
07/05,0.262,0.309,0.174,0.25,0.288,0.246,0.21,0.26,0.273,0.309,0.304
07/06,0.272,0.321,0.202,0.258,0.3,0.257,0.219,0.273,0.329,0.321,0.314
07/07,0.271,0.318,0.216,0.254,0.296,0.254,0.215,0.275,0.321,0.318,0.303
07/08,0.262,0.309,0.2,0.247,0.287,0.247,0.21,0.27,0.309,0.309,0.289
07/09,0.255,0.3,0.214,0.241,0.278,0.24,0.203,0.263,0.302,0.3,0.275
07/10,0.247,0.29,0.218,0.233,0.268,0.233,0.197,0.256,0.31,0.29,0.263
07/11,0.259,0.305,0.228,0.243,0.284,0.243,0.206,0.27,0.304,0.305,0.27
07/12,0.263,0.308,0.24,0.248,0.286,0.248,0.209,0.276,0.3,0.308,0.261
07/13,0.247,0.292,0.208,0.235,0.272,0.235,0.198,0.265,0.279,0.292,0.241
07/14,0.246,0.288,0.22,0.23,0.267,0.23,0.194,0.262,0.276,0.288,0.231
07/15,0.254,0.298,0.226,0.238,0.275,0.238,0.202,0.272,0.278,0.298,0.231
07/16,0.279,0.327,0.245,0.262,0.301,0.262,0.221,0.299,0.326,0.324,0.231
07/17,0.258,0.303,0.258,0.243,0.279,0.243,0.206,0.28,0.324,0.3,0.201
07/18,0.281,0.332,0.307,0.267,0.306,0.267,0.226,0.308,0.356,0.323,0.211
07/19,0.276,0.324,0.267,0.259,0.295,0.259,0.22,0.3,0.328,0.314,0.198
07/20,0.276,0.325,0.248,0.261,0.299,0.261,0.22,0.301,0.334,0.306,0.185
07/21,0.279,0.328,0.262,0.261,0.3,0.261,0.222,0.305,0.326,0.306,0.198
07/22,0.29,0.342,0.286,0.274,0.312,0.274,0.233,0.316,0.351,0.318,0.208
07/23,0.277,0.324,0.272,0.26,0.294,0.26,0.218,0.3,0.316,0.289,0.179
07/24,0.281,0.33,0.288,0.264,0.3,0.264,0.225,0.306,0.316,0.287,0.168
07/25,0.25,0.294,0.268,0.235,0.267,0.235,0.2,0.274,0.266,0.249,0.123
07/26,0.258,0.303,0.284,0.243,0.274,0.243,0.207,0.282,0.269,0.279,0.182
07/27,0.231,0.27,0.262,0.216,0.245,0.216,0.183,0.252,0.247,0.237,0.16
07/28,0.23,0.271,0.262,0.216,0.247,0.216,0.184,0.252,0.244,0.226,0.157
07/29,0.22,0.26,0.252,0.208,0.236,0.208,0.175,0.241,0.234,0.197,0.127
07/30,0.249,0.29,0.29,0.231,0.261,0.231,0.196,0.27,0.246,0.212,0.135
07/31,0.244,0.285,0.248,0.227,0.257,0.227,0.194,0.266,0.25,0.189,0.102
08/01,0.254,0.299,0.298,0.24,0.268,0.24,0.202,0.277,0.236,0.181,0.065
08/02,0.232,0.272,0.226,0.217,0.244,0.217,0.185,0.252,0.234,0.165,0.08
08/03,0.27,0.318,0.286,0.255,0.286,0.255,0.217,0.295,0.269,0.181,0.103
08/04,0.225,0.263,0.264,0.21,0.237,0.21,0.179,0.243,0.207,0.131,0.083
08/05,0.199,0.233,0.254,0.187,0.209,0.187,0.157,0.215,0.18,0.09,0.037
08/06,0.204,0.239,0.234,0.191,0.215,0.191,0.163,0.221,0.198,0.108,0.09
08/07,0.232,0.272,0.274,0.216,0.243,0.216,0.185,0.251,0.195,0.123,0.07
08/08,0.207,0.241,0.244,0.193,0.216,0.193,0.163,0.223,0.157,0.112,0.06
08/09,0.211,0.246,0.242,0.196,0.22,0.196,0.167,0.226,0.142,0.097,0.07
08/10,0.239,0.281,0.292,0.225,0.251,0.225,0.191,0.258,0.102,0.055,0.0
08/11,0.243,0.286,0.304,0.231,0.254,0.231,0.193,0.262,0.19,0.15,
08/12,0.231,0.274,0.298,0.219,0.242,0.219,0.186,0.248,0.16,0.13,
08/13,0.244,0.288,0.308,0.229,0.256,0.229,0.195,0.262,0.163,0.115,
08/14,0.213,0.249,0.276,0.199,0.221,0.199,0.17,0.225,0.12,0.1,
08/15,0.233,0.273,0.274,0.219,0.243,0.219,0.186,0.246,0.12,0.07,
08/16,0.235,0.276,0.28,0.22,0.246,0.22,0.188,0.247,0.127,0.14,
08/17,0.252,0.296,0.336,0.238,0.262,0.238,0.201,0.262,0.113,0.11,
08/18,0.23,0.271,0.304,0.217,0.239,0.217,0.185,0.24,0.1,0.09,
08/19,0.221,0.26,0.244,0.208,0.228,0.208,0.176,0.225,0.11,0.09,
08/20,0.19,0.223,0.218,0.179,0.197,0.179,0.153,0.192,0.0,0.0,
08/21,0.202,0.238,0.226,0.19,0.208,0.19,0.161,0.205,,,
08/22,0.204,0.239,0.238,0.191,0.21,0.191,0.162,0.204,,,
08/23,0.19,0.224,0.246,0.181,0.196,0.181,0.153,0.192,,,
08/24,0.205,0.241,0.228,0.192,0.211,0.192,0.163,0.203,,,
08/25,0.204,0.24,0.238,0.192,0.208,0.192,0.161,0.203,,,
08/26,0.214,0.253,0.242,0.202,0.223,0.202,0.17,0.212,,,
08/27,0.197,0.232,0.25,0.185,0.202,0.185,0.155,0.192,,,
08/28,0.201,0.235,0.228,0.189,0.204,0.189,0.157,0.192,,,
08/29,0.222,0.264,0.26,0.212,0.231,0.212,0.176,0.216,,,
08/30,0.218,0.257,0.248,0.207,0.222,0.207,0.171,0.208,,,
08/31,0.201,0.237,0.226,0.189,0.205,0.189,0.157,0.191,,,
09/01,0.203,0.239,0.244,0.192,0.207,0.192,0.157,0.192,,,
09/02,0.218,0.257,0.24,0.206,0.223,0.206,0.168,0.205,,,
09/03,0.201,0.237,0.214,0.188,0.206,0.188,0.153,0.188,,,
09/04,0.185,0.218,0.228,0.174,0.188,0.174,0.141,0.172,,,
09/05,0.198,0.233,0.228,0.187,0.202,0.187,0.15,0.181,,,
09/06,0.182,0.214,0.206,0.171,0.184,0.171,0.137,0.165,,,
09/07,0.196,0.23,0.214,0.184,0.198,0.184,0.148,0.175,,,
09/08,0.207,0.243,0.202,0.194,0.21,0.194,0.156,0.182,,,
09/09,0.204,0.238,0.214,0.19,0.205,0.19,0.149,0.177,,,
09/10,0.187,0.219,0.186,0.177,0.188,0.177,0.139,0.161,,,
09/11,0.191,0.223,0.172,0.177,0.191,0.177,0.14,0.161,,,
09/12,0.187,0.221,0.198,0.177,0.188,0.177,0.137,0.156,,,
09/13,0.183,0.217,0.145,0.173,0.184,0.173,0.136,0.149,,,
09/14,0.154,0.18,0.165,0.144,0.154,0.144,0.11,0.12,,,
09/15,0.156,0.186,0.18,0.146,0.156,0.149,0.114,0.112,,,
09/16,0.157,0.186,0.163,0.146,0.157,0.148,0.113,0.125,,,
09/17,0.162,0.192,0.165,0.151,0.161,0.153,0.116,0.133,,,
09/18,0.182,0.211,0.177,0.166,0.181,0.169,0.124,0.143,,,
09/19,0.166,0.196,0.155,0.151,0.166,0.157,0.116,0.124,,,
09/20,0.163,0.191,0.128,0.148,0.161,0.152,0.108,0.073,,,
09/21,0.124,0.147,0.113,0.113,0.124,0.116,0.08,0.072,,,
09/22,0.129,0.154,0.125,0.119,0.129,0.124,0.083,0.082,,,
09/23,0.136,0.157,0.13,0.12,0.132,0.126,0.082,0.08,,,
09/24,0.146,0.171,0.158,0.13,0.143,0.138,0.086,0.086,,,
09/25,0.162,0.19,0.04,0.143,0.159,0.152,0.094,0.072,,,
09/26,0.174,0.205,0.185,0.154,0.172,0.165,0.098,0.103,,,
09/27,0.142,0.166,0.155,0.123,0.14,0.132,0.077,0.077,,,
09/28,0.129,0.152,0.085,0.113,0.127,0.121,0.07,0.057,,,
09/29,0.122,0.143,0.085,0.104,0.122,0.115,0.061,0.06,,,
09/30,0.01,0.012,0.0,0.094,0.107,0.01,0.006,0.0,,,
10/01,0.14,0.16,,0.081,0.095,0.13,0.08,,,,
10/02,0.1,0.12,,0.087,0.101,0.1,0.06,,,,
10/03,0.05,0.06,,0.097,0.11,0.05,0.03,,,,
10/04,0.07,0.08,,0.09,0.104,0.06,0.04,,,,
10/05,0.07,0.08,,0.084,0.098,0.06,0.04,,,,
10/06,0.06,0.07,,0.08,0.094,0.06,0.03,,,,
10/07,0.09,0.11,,0.093,0.11,0.09,0.05,,,,
10/08,0.09,0.11,,0.092,0.11,0.09,0.05,,,,
10/09,0.17,0.2,,0.081,0.097,0.16,0.08,,,,
10/10,0.0,0.0,,0.103,0.127,0.0,0.0,,,,
10/11,,,,0.087,0.106,,,,,,
10/12,,,,0.077,0.094,,,,,,
10/13,,,,0.08,0.098,,,,,,
10/14,,,,0.08,0.1,,,,,,
10/15,,,,0.08,0.098,,,,,,
10/16,,,,0.074,0.09,,,,,,
10/17,,,,0.097,0.119,,,,,,
10/18,,,,0.075,0.091,,,,,,
10/19,,,,0.067,0.085,,,,,,
10/20,,,,0.0,0.0,,,,,,
